tier,n_pairs,n_players,r,ci_lo,ci_hi,r_independent,p_independent
>=100,3484,824,0.5144131804776617,0.4770416814741021,0.5519383478722691,0.46627758521259854,1.0359857901849745e-45
>=200,2812,687,0.569800562402368,0.5279271048243551,0.6037155106619149,0.5513195795743868,6.994333158438327e-56
>=400,1767,474,0.6195148235581707,0.5734292083836332,0.6633946406198179,0.6448854882495786,4.455987227751872e-57
>=600,1036,283,0.6698708461547425,0.6120272385505332,0.7195174918030925,0.7163578696844003,7.8943724933365e-46
>=800,555,179,0.7071073126717877,0.6142867106491918,0.7703936745400478,0.7215544834745787,4.5223409845539906e-30
