season_year,season,personId,playerName,n_shots,actual,expected,var,spoe,se,spoe_per_shot,se_per_shot,z,ci_lo,ci_hi,significant,shrinkage,spoe_per_shot_shrunk,spoe_shrunk_total
2013,2013-14,2744,Jefferson,1376,1403,1123.329658176147,1235.3779060367015,279.67034182385305,35.147943126685256,0.20324879493012576,0.025543563318811958,7.956947603329876,210.78037329554996,348.56031035215614,above,0.8895730167585943,0.18096400613944735,249.00647244787956
2013,2013-14,1717,Nowitzki,1273,1397,1117.5440530991973,1554.8561216030203,279.4559469008027,39.4316639466688,0.21952548853165962,0.03097538409007761,7.087094962027623,202.16988556533187,356.74200823627353,above,0.8456355537906011,0.1858613288086924,236.60147157346543
2013,2013-14,2544,James,1353,1650,1414.4832635513285,1524.0102648660989,235.5167364486715,39.03857406292011,0.17407001954816814,0.02885334372721368,6.032923642884068,159.0011312853481,312.0323416119949,above,0.8632684294810392,0.15046647628872117,203.58114241863976
2013,2013-14,201939,Curry,1383,1565,1362.6726102846767,1975.0678126187179,202.3273897153233,44.441735031597474,0.1462960157016076,0.032134298649022036,4.552643805906121,115.22158905339226,289.43319037725433,above,0.8358007869097613,0.12251128881247093,169.4331124276473
2013,2013-14,201142,Durant,1688,1890,1696.0775746559648,2047.690632812525,193.92242534403522,45.25141581003323,0.11488295340286446,0.02680771078793438,4.285444375003143,105.22965035637009,282.61520033170035,above,0.8797197198788813,0.10123838183309826,170.89038853426987
2013,2013-14,2546,Anthony,1643,1653,1479.9904719714443,1958.9365352476611,173.00952802855568,44.25987500262129,0.10530099088773931,0.02693845100585593,3.908947506478705,86.26017302341795,259.7588830336934,above,0.8786863269155165,0.09270161448938037,152.30875260605194
2013,2013-14,2594,Korver,609,763,599.9500708966636,1017.9473069772913,163.04992910333635,31.905286505174832,0.2677338737329004,0.05238963301342337,5.110436136559711,100.51556755319368,225.58429065347903,above,0.65695194577595,0.17638335841510105,107.41746527479654
2013,2013-14,2561,West,939,920,761.4025995943294,860.9043166088146,158.59740040567056,29.34117101631792,0.16890031992084192,0.031247253478506834,5.405285300899121,101.08870521368743,216.10609559765368,above,0.8433403276904672,0.14266653424311232,133.96387565428248
2013,2013-14,2207,Johnson,1018,1086,932.986916044182,1394.3683156830327,153.01308395581805,37.34124148556168,0.15030754809019453,0.036680983777565505,4.097696752128123,79.82425064411716,226.20191726751892,above,0.7961885712128048,0.11996728201391633,122.12669309016682
2013,2013-14,101162,Gortat,840,911,760.8519372814422,746.0517834099642,150.14806271855775,27.313948513716653,0.17874769371256877,0.03251660537347221,5.4971203684870265,96.6127236316731,203.6834018054424,above,0.8325287424553377,0.1490542784750581,125.2055939190488
