personId,playerName_x,season_year,spoe_per_shot_x,n_shots_x,se_per_shot_x,playerName_x1,spoe_per_shot_x1,n_shots_x1,se_per_shot_x1,pair
2744,Jefferson,2013,0.20324879493012576,1376,0.025543563318811958,Jefferson,0.16483918575001816,1010,0.02987835797838646,2013-14 -> 2014-15
1717,Nowitzki,2013,0.21952548853165962,1273,0.03097538409007761,Nowitzki,0.13805112459315685,1062,0.03393129028466728,2013-14 -> 2014-15
2544,James,2013,0.17407001954816814,1353,0.02885334372721368,James,0.03561923363776383,1279,0.030194766902269153,2013-14 -> 2014-15
201939,Curry,2013,0.1462960157016076,1383,0.032134298649022036,Curry,0.15696266179846063,1341,0.03313638760308311,2013-14 -> 2014-15
201142,Durant,2013,0.11488295340286446,1688,0.02680771078793438,Durant,0.13982238045324358,467,0.052064146304930246,2013-14 -> 2014-15
2546,Anthony,2013,0.10530099088773931,1643,0.02693845100585593,Anthony,0.06708332045058814,806,0.037884090544738784,2013-14 -> 2014-15
2594,Korver,2013,0.2677338737329004,609,0.05238963301342337,Korver,0.31026667024553317,600,0.05456322173204782,2013-14 -> 2014-15
2561,West,2013,0.16890031992084192,939,0.031247253478506834,West,0.15247729652049577,686,0.0369966666553904,2013-14 -> 2014-15
2207,Johnson,2013,0.15030754809019453,1018,0.036680983777565505,Johnson,0.09401052943148121,1025,0.03550188862067252,2013-14 -> 2014-15
101162,Gortat,2013,0.17874769371256877,840,0.03251660537347221,Gortat,0.1585304861798305,775,0.033507501239669335,2013-14 -> 2014-15
202326,Cousins,2013,0.12599778026490988,1191,0.027205440296143565,Cousins,0.02566748798585831,1066,0.02859137917563326,2013-14 -> 2014-15
2547,Bosh,2013,0.14583561999516065,953,0.03471447551650137,Bosh,0.09609988073906967,745,0.039661602752545266,2013-14 -> 2014-15
201158,Belinelli,2013,0.19792360741097034,695,0.04465512923192087,Belinelli,0.07744277904567533,470,0.05587315195799538,2013-14 -> 2014-15
101181,Calderon,2013,0.17700684527121854,748,0.04590674507058825,Calderon,0.08118771039203684,354,0.06265031824602986,2013-14 -> 2014-15
201167,Afflalo,2013,0.1274667637098424,1011,0.03537048252296609,Afflalo,0.04526540026570371,884,0.03921154525133104,2013-14 -> 2014-15
