actionNumber,clock,period,teamId,teamTricode,personId,playerName,playerNameI,xLegacy,yLegacy,shotDistance,shotResult,isFieldGoal,scoreHome,scoreAway,pointsTotal,location,description,actionType,subType,videoAvailable,actionId,gameId,ABS_TIME,SHOT_CLOCK_APPROX,SHOT_CLOCK_SOURCE,shotValue,contest_score,contest_label,contest_reasons
24,PT10M02.00S,1,1610612744,GSW,201939,Curry,S. Curry,19,279,28,Missed,1,,,0,h,MISS Curry 28' 3PT Jump Shot,Missed Shot,Jump Shot,0,16,21900016,118,11.0,final_ft(24),3,-2,likely_open,"subType: open-like, distance: deep above-break 3 (>=27ft)"
44,PT08M53.00S,1,1610612744,GSW,201939,Curry,S. Curry,143,232,27,Missed,1,,,0,h,MISS Curry 27' 3PT Jump Shot,Missed Shot,Jump Shot,1,31,21900016,187,14.0,made_fg(24),3,-2,likely_open,"subType: open-like, distance: deep above-break 3 (>=27ft)"
59,PT07M28.00S,1,1610612744,GSW,201939,Curry,S. Curry,-94,147,17,Missed,1,,,0,h,MISS Curry 17' Fadeaway Jumper,Missed Shot,Fadeaway Jump Shot,1,43,21900016,272,18.0,def_reb(24),2,3,likely_contested,"subType: contested-like, text: pressure-move"
91,PT04M57.00S,1,1610612744,GSW,201939,Curry,S. Curry,24,211,21,Made,1,14.0,20.0,34,h,Curry 21' Pullup Jump Shot (2 PTS),Made Shot,Pullup Jump shot,1,66,21900016,423,9.0,turnover(24),2,3,likely_contested,"subType: contested-like, text: pressure-move"
130,PT02M15.00S,1,1610612744,GSW,201939,Curry,S. Curry,-112,256,28,Made,1,25.0,29.0,54,h,Curry 28' 3PT Step Back Jump Shot (8 PTS),Made Shot,Step Back Jump shot,1,92,21900016,585,10.0,made_fg(24),3,2,likely_contested,"subType: contested-like, text: pressure-move, distance: deep above-break 3 (>=27ft)"
135,PT01M55.00S,1,1610612744,GSW,201939,Curry,S. Curry,0,92,9,Made,1,27.0,31.0,58,h,Curry 9' Driving Floating Jump Shot (10 PTS),Made Shot,Driving Floating Jump Shot,1,96,21900016,605,15.0,final_ft(24),2,3,likely_contested,"subType: contested-like, distance: mid-range"
167,PT00M01.30S,1,1610612744,GSW,201939,Curry,S. Curry,-115,332,35,Missed,1,,,0,h,MISS Curry 35' 3PT Step Back Jump Shot,Missed Shot,Step Back Jump shot,1,120,21900016,719,12.0,turnover(24),3,2,likely_contested,"subType: contested-like, text: pressure-move, distance: deep above-break 3 (>=27ft)"
277,PT05M42.00S,2,1610612744,GSW,201939,Curry,S. Curry,192,190,27,Missed,1,,,0,h,MISS Curry 27' 3PT Jump Shot,Missed Shot,Jump Shot,1,195,21900016,1098,8.0,off_reb(14),3,-2,likely_open,"subType: open-like, distance: deep above-break 3 (>=27ft)"
308,PT03M22.00S,2,1610612744,GSW,201939,Curry,S. Curry,226,125,26,Missed,1,,,0,h,MISS Curry 26' 3PT Jump Shot,Missed Shot,Jump Shot,1,220,21900016,1238,17.0,def_reb(24),3,-1,likely_open,subType: open-like
314,PT02M42.00S,2,1610612744,GSW,201939,Curry,S. Curry,-231,-21,0,Made,1,50.0,57.0,107,h,Curry 3PT Pullup Jump Shot (13 PTS) (Green 2 AST),Made Shot,Pullup Jump shot,1,225,21900016,1278,10.0,def_reb(24),3,4,likely_contested,"subType: contested-like, text: pressure-move, distance: at-rim/very close, coords: corner-3"
322,PT02M10.00S,2,1610612744,GSW,201939,Curry,S. Curry,-35,51,6,Missed,1,,,0,h,MISS Curry 6' Driving Hook Shot,Missed Shot,Driving Hook Shot,0,234,21900016,1310,11.0,final_ft(24),2,2,likely_contested,subType: contested-like
353,PT00M32.40S,2,1610612744,GSW,201939,Curry,S. Curry,-9,21,2,Made,1,54.0,64.0,118,h,Curry 2' Running Reverse Layup (15 PTS),Made Shot,Running Reverse Layup Shot,1,255,21900016,1408,18.0,made_fg(24),2,1,borderline,distance: at-rim/very close
411,PT09M44.00S,3,1610612744,GSW,201939,Curry,S. Curry,62,116,13,Made,1,60.0,76.0,136,h,Curry 13' Driving Floating Jump Shot (17 PTS) (Chriss 1 AST),Made Shot,Driving Floating Jump Shot,1,284,21900016,1576,13.0,made_fg(24),2,3,likely_contested,"subType: contested-like, distance: mid-range"
470,PT05M42.00S,3,1610612744,GSW,201939,Curry,S. Curry,-196,155,25,Missed,1,,,0,h,MISS Curry 25' 3PT Jump Shot,Missed Shot,Jump Shot,1,325,21900016,1818,13.0,final_ft(24),3,-1,likely_open,subType: open-like
509,PT03M40.00S,3,1610612744,GSW,201939,Curry,S. Curry,-48,267,27,Missed,1,,,0,h,MISS Curry 27' 3PT Jump Shot,Missed Shot,Jump Shot,1,351,21900016,1940,8.0,made_fg(24),3,-2,likely_open,"subType: open-like, distance: deep above-break 3 (>=27ft)"
514,PT03M25.00S,3,1610612744,GSW,201939,Curry,S. Curry,106,179,21,Missed,1,,,0,h,MISS Curry 21' Jump Shot,Missed Shot,Jump Shot,1,355,21900016,1955,14.0,turnover(24),2,-1,likely_open,subType: open-like
527,PT02M21.00S,3,1610612744,GSW,201939,Curry,S. Curry,7,19,2,Made,1,78.0,104.0,182,h,Curry 2' Layup (21 PTS),Made Shot,Layup Shot,1,367,21900016,2019,19.0,turnover(24),2,1,borderline,distance: at-rim/very close
529,PT01M55.00S,3,1610612744,GSW,201939,Curry,S. Curry,-140,241,28,Missed,1,,,0,h,MISS Curry 28' 3PT Jump Shot,Missed Shot,Jump Shot,1,369,21900016,2045,12.0,made_fg(24),3,-2,likely_open,"subType: open-like, distance: deep above-break 3 (>=27ft)"
534,PT01M18.00S,3,1610612744,GSW,201939,Curry,S. Curry,-14,6,2,Made,1,83.0,108.0,191,h,Curry 2' Driving Finger Roll Layup (23 PTS),Made Shot,Driving Finger Roll Layup Shot,1,373,21900016,2082,11.0,made_fg(24),2,1,borderline,distance: at-rim/very close
556,PT00M02.80S,3,1610612744,GSW,201939,Curry,S. Curry,-199,336,39,Missed,1,,,0,h,MISS Curry 39' 3PT Running Pull-Up Jump Shot,Missed Shot,Running Pull-Up Jump Shot,1,388,21900016,2158,22.0,turnover(24),3,2,likely_contested,"subType: contested-like, text: pressure-move, distance: deep above-break 3 (>=27ft)"
18,PT10M46.00S,1,1610612744,GSW,201939,Curry,S. Curry,-5,270,27,Made,1,8.0,3.0,11,v,Curry 27' 3PT Pullup Jump Shot (3 PTS) (Chriss 1 AST),Made Shot,Pullup Jump shot,1,11,21900036,74,13.0,made_fg(24),3,2,likely_contested,"subType: contested-like, text: pressure-move, distance: deep above-break 3 (>=27ft)"
48,PT07M52.00S,1,1610612744,GSW,201939,Curry,S. Curry,10,301,30,Made,1,15.0,6.0,21,v,Curry 30' 3PT Pullup Jump Shot (6 PTS),Made Shot,Pullup Jump shot,1,36,21900036,248,21.0,def_reb(24),3,2,likely_contested,"subType: contested-like, text: pressure-move, distance: deep above-break 3 (>=27ft)"
62,PT06M27.00S,1,1610612744,GSW,201939,Curry,S. Curry,60,201,21,Made,1,19.0,8.0,27,v,Curry 21' Jump Shot (8 PTS),Made Shot,Jump Shot,1,47,21900036,333,12.0,off_reb(14),2,-1,likely_open,subType: open-like
128,PT02M02.00S,1,1610612744,GSW,201939,Curry,S. Curry,25,20,3,Missed,1,,,0,v,MISS Curry 3' Driving Layup,Missed Shot,Driving Layup Shot,1,101,21900036,598,9.0,made_fg(24),2,3,likely_contested,"subType: contested-like, distance: at-rim/very close"
131,PT01M34.00S,1,1610612744,GSW,201939,Curry,S. Curry,-166,207,27,Missed,1,,,0,v,MISS Curry 27' 3PT Pullup Jump Shot,Missed Shot,Pullup Jump shot,1,104,21900036,626,4.0,made_fg(24),3,3,likely_contested,"subType: contested-like, text: pressure-move, distance: deep above-break 3 (>=27ft), clock: late (<=5s)"
235,PT07M13.00S,2,1610612744,GSW,201939,Curry,S. Curry,21,13,2,Missed,1,,,0,v,MISS Curry 2' Driving Finger Roll Layup,Missed Shot,Driving Finger Roll Layup Shot,1,174,21900036,1007,8.0,made_fg(24),2,1,borderline,distance: at-rim/very close
266,PT05M36.00S,2,1610612744,GSW,201939,Curry,S. Curry,206,148,25,Missed,1,,,0,v,MISS Curry 25' 3PT Jump Shot,Missed Shot,Jump Shot,1,195,21900036,1104,17.0,turnover(24),3,-1,likely_open,subType: open-like
295,PT03M14.00S,2,1610612744,GSW,201939,Curry,S. Curry,47,6,5,Missed,1,,,0,v,MISS Curry 5' Driving Finger Roll Layup,Missed Shot,Driving Finger Roll Layup Shot,1,217,21900036,1246,9.0,made_fg(24),2,1,borderline,distance: at-rim/very close
332,PT00M44.60S,2,1610612744,GSW,201939,Curry,S. Curry,-6,295,30,Missed,1,,,0,v,MISS Curry 30' 3PT Pullup Jump Shot,Missed Shot,Pullup Jump shot,1,248,21900036,1396,19.0,def_reb(24),3,2,likely_contested,"subType: contested-like, text: pressure-move, distance: deep above-break 3 (>=27ft)"
356,PT11M02.00S,3,1610612744,GSW,201939,Curry,S. Curry,-5,5,1,Made,1,70.0,41.0,111,v,Curry 1' Cutting Layup Shot (12 PTS) (Russell 2 AST),Made Shot,Cutting Layup Shot,1,264,21900036,1498,17.0,turnover(24),2,1,borderline,distance: at-rim/very close
366,PT10M22.00S,3,1610612744,GSW,201939,Curry,S. Curry,7,87,9,Made,1,71.0,43.0,114,v,Curry 9' Floating Jump Shot (14 PTS),Made Shot,Floating Jump shot,1,272,21900036,1538,12.0,off_reb(14),2,3,likely_contested,"subType: contested-like, distance: mid-range"
392,PT07M41.00S,3,1610612744,GSW,201939,Curry,S. Curry,187,162,25,Missed,1,,,0,v,MISS Curry 25' 3PT Jump Shot,Missed Shot,Jump Shot,1,296,21900036,1699,9.0,def_reb(24),3,-1,likely_open,subType: open-like
440,PT04M22.00S,3,1610612744,GSW,201939,Curry,S. Curry,79,263,27,Missed,1,,,0,v,MISS Curry 27' 3PT Pullup Jump Shot,Missed Shot,Pullup Jump shot,1,330,21900036,1898,15.0,made_fg(24),3,2,likely_contested,"subType: contested-like, text: pressure-move, distance: deep above-break 3 (>=27ft)"
452,PT03M47.00S,3,1610612744,GSW,201939,Curry,S. Curry,215,224,31,Missed,1,,,0,v,MISS Curry 31' 3PT Jump Shot,Missed Shot,Jump Shot,1,338,21900036,1933,,stale_reset(24),3,-2,likely_open,"subType: open-like, distance: deep above-break 3 (>=27ft)"
458,PT03M16.00S,3,1610612744,GSW,201939,Curry,S. Curry,-19,3,2,Made,1,97.0,58.0,155,v,Curry 2' Layup (18 PTS),Made Shot,Layup Shot,1,343,21900036,1964,15.0,final_ft(24),2,1,borderline,distance: at-rim/very close
471,PT02M52.00S,3,1610612744,GSW,201939,Curry,S. Curry,-174,36,18,Missed,1,,,0,v,MISS Curry 18' Jump Shot,Missed Shot,Jump Shot,1,352,21900036,1988,10.0,off_reb(14),2,-1,likely_open,subType: open-like
496,PT00M58.20S,3,1610612744,GSW,201939,Curry,S. Curry,-151,150,21,Made,1,105.0,68.0,173,v,Curry 21' Pullup Jump Shot (23 PTS),Made Shot,Pullup Jump shot,1,369,21900036,2102,16.0,made_fg(24),2,3,likely_contested,"subType: contested-like, text: pressure-move"
506,PT00M00.20S,3,1610612744,GSW,201939,Curry,S. Curry,-3,267,27,Missed,1,,,0,v,MISS Curry 27' 3PT Jump Shot,Missed Shot,Jump Shot,1,379,21900036,2160,22.0,def_reb(24),3,-2,likely_open,"subType: open-like, distance: deep above-break 3 (>=27ft)"
48,PT08M47.00S,1,1610612744,GSW,201939,Curry,S. Curry,34,262,26,Missed,1,,,0,v,MISS Curry 26' 3PT Jump Shot,Missed Shot,Jump Shot,1,39,21900047,193,12.0,keep_clock(24),3,-1,likely_open,subType: open-like
73,PT06M26.00S,1,1610612744,GSW,201939,Curry,S. Curry,14,-4,1,Made,1,5.0,14.0,19,v,Curry 1' Driving Layup (4 PTS),Made Shot,Driving Layup Shot,1,62,21900047,334,8.0,off_reb(14),2,3,likely_contested,"subType: contested-like, distance: at-rim/very close"
187,PT11M31.00S,2,1610612744,GSW,201939,Curry,S. Curry,22,14,3,Missed,1,,,0,v,MISS Curry 3' Driving Layup,Missed Shot,Driving Layup Shot,1,147,21900047,749,10.0,def_reb(24),2,3,likely_contested,"subType: contested-like, distance: at-rim/very close"
210,PT10M15.00S,2,1610612744,GSW,201939,Curry,S. Curry,176,195,26,Made,1,23.0,36.0,59,v,Curry 26' 3PT Jump Shot (7 PTS) (Robinson III 1 AST),Made Shot,Jump Shot,1,168,21900047,825,12.0,off_reb(14),3,-1,likely_open,subType: open-like
232,PT08M51.00S,2,1610612744,GSW,201939,Curry,S. Curry,226,103,25,Missed,1,,,0,v,MISS Curry 25' 3PT Jump Shot,Missed Shot,Jump Shot,1,184,21900047,909,19.0,turnover(24),3,-1,likely_open,subType: open-like
246,PT08M16.00S,2,1610612744,GSW,201939,Curry,S. Curry,239,10,24,Made,1,30.0,46.0,76,v,Curry 24' 3PT Jump Shot (10 PTS) (Green 5 AST),Made Shot,Jump Shot,1,193,21900047,944,11.0,final_ft(24),3,-2,likely_open,"subType: open-like, coords: corner-3, corner: catch/spot"
269,PT06M34.00S,2,1610612744,GSW,201939,Curry,S. Curry,-16,0,2,Made,1,32.0,52.0,84,v,Curry 2' Cutting Layup Shot (12 PTS) (Green 7 AST),Made Shot,Cutting Layup Shot,1,210,21900047,1046,11.0,made_fg(24),2,1,borderline,distance: at-rim/very close
379,PT00M33.40S,2,1610612744,GSW,201939,Curry,S. Curry,-75,281,29,Made,1,55.0,70.0,125,v,Curry 29' 3PT Pullup Jump Shot (17 PTS),Made Shot,Pullup Jump shot,1,289,21900047,1407,19.0,made_fg(24),3,2,likely_contested,"subType: contested-like, text: pressure-move, distance: deep above-break 3 (>=27ft)"
412,PT10M23.00S,3,1610612744,GSW,201939,Curry,S. Curry,-110,243,27,Missed,1,,,0,v,MISS Curry 27' 3PT Pullup Jump Shot,Missed Shot,Pullup Jump shot,1,310,21900047,1537,11.0,made_fg(24),3,2,likely_contested,"subType: contested-like, text: pressure-move, distance: deep above-break 3 (>=27ft)"
430,PT08M56.00S,3,1610612744,GSW,201939,Curry,S. Curry,13,8,2,Made,1,62.0,80.0,142,v,Curry 2' Cutting Layup Shot (19 PTS) (Russell 3 AST),Made Shot,Cutting Layup Shot,1,325,21900047,1624,11.0,made_fg(24),2,1,borderline,distance: at-rim/very close
446,PT08M04.00S,3,1610612744,GSW,201939,Curry,S. Curry,49,257,26,Missed,1,,,0,v,MISS Curry 26' 3PT Jump Shot,Missed Shot,Jump Shot,1,339,21900047,1676,12.0,turnover(24),3,-1,likely_open,subType: open-like
451,PT07M38.00S,3,1610612744,GSW,201939,Curry,S. Curry,-17,15,2,Made,1,64.0,82.0,146,v,Curry 2' Driving Layup (21 PTS) (Green 10 AST),Made Shot,Driving Layup Shot,1,344,21900047,1702,10.0,made_fg(24),2,3,likely_contested,"subType: contested-like, distance: at-rim/very close"
584,PT11M16.00S,4,1610612744,GSW,201939,Curry,S. Curry,90,243,26,Missed,1,,,0,v,MISS Curry 26' 3PT Step Back Jump Shot,Missed Shot,Step Back Jump shot,1,439,21900047,2204,10.0,turnover(24),3,3,likely_contested,"subType: contested-like, text: pressure-move"
599,PT09M48.00S,4,1610612744,GSW,201939,Curry,S. Curry,21,6,2,Missed,1,,,0,v,MISS Curry 2' Driving Layup,Missed Shot,Driving Layup Shot,1,449,21900047,2292,,stale_reset(24),2,3,likely_contested,"subType: contested-like, distance: at-rim/very close"
604,PT09M07.00S,4,1610612744,GSW,201939,Curry,S. Curry,-240,16,24,Missed,1,,,0,v,MISS Curry 24' 3PT Jump Shot,Missed Shot,Jump Shot,1,453,21900047,2333,5.0,made_fg(24),3,-1,likely_open,"subType: open-like, coords: corner-3, corner: catch/spot, clock: late (<=5s)"
634,PT08M26.00S,4,1610612744,GSW,201939,Curry,S. Curry,138,256,29,Made,1,88.0,113.0,201,v,Curry 29' 3PT Pullup Jump Shot (24 PTS),Made Shot,Pullup Jump shot,1,473,21900047,2374,20.0,def_reb(24),3,2,likely_contested,"subType: contested-like, text: pressure-move, distance: deep above-break 3 (>=27ft)"
657,PT06M58.00S,4,1610612744,GSW,201939,Curry,S. Curry,-112,197,23,Made,1,93.0,119.0,212,v,Curry 23' Step Back Jump Shot (26 PTS),Made Shot,Step Back Jump shot,1,490,21900047,2462,5.0,made_fg(24),2,4,likely_contested,"subType: contested-like, text: pressure-move, clock: late (<=5s)"
20,PT10M43.00S,1,1610612744,GSW,201939,Curry,S. Curry,-196,163,25,Made,1,3.0,2.0,5,h,Curry 25' 3PT Jump Shot (3 PTS) (Green 1 AST),Made Shot,Jump Shot,1,16,21900065,77,21.0,def_reb(24),3,-1,likely_open,subType: open-like
24,PT10M16.00S,1,1610612744,GSW,201939,Curry,S. Curry,3,20,2,Made,1,5.0,5.0,10,h,Curry 2' Running Finger Roll Layup (5 PTS),Made Shot,Running Finger Roll Layup Shot,1,18,21900065,104,14.0,made_fg(24),2,1,borderline,distance: at-rim/very close
29,PT09M57.00S,1,1610612744,GSW,201939,Curry,S. Curry,-22,14,3,Made,1,7.0,7.0,14,h,Curry 3' Cutting Finger Roll Layup Shot (7 PTS) (Green 2 AST),Made Shot,Cutting Finger Roll Layup Shot,1,22,21900065,123,13.0,final_ft(24),2,1,borderline,distance: at-rim/very close
40,PT08M42.00S,1,1610612744,GSW,201939,Curry,S. Curry,226,6,0,Missed,1,,,0,h,MISS Curry 3PT Jump Shot,Missed Shot,Jump Shot,1,30,21900065,198,15.0,def_reb(24),3,-1,likely_open,"subType: open-like, distance: at-rim/very close, coords: corner-3, corner: catch/spot"
47,PT08M14.00S,1,1610612744,GSW,201939,Curry,S. Curry,-5,6,1,Missed,1,,,0,h,MISS Curry 1' Driving Layup,Missed Shot,Driving Layup Shot,1,35,21900065,226,15.0,def_reb(24),2,3,likely_contested,"subType: contested-like, distance: at-rim/very close"
60,PT07M30.00S,1,1610612744,GSW,201939,Curry,S. Curry,112,177,21,Missed,1,,,0,h,MISS Curry 21' Jump Shot,Missed Shot,Jump Shot,1,43,21900065,270,20.0,def_reb(24),2,-1,likely_open,subType: open-like
101,PT04M26.00S,1,1610612744,GSW,201939,Curry,S. Curry,-168,203,26,Missed,1,,,0,h,MISS Curry 26' 3PT Jump Shot,Missed Shot,Jump Shot,1,73,21900065,454,6.0,made_fg(24),3,-1,likely_open,subType: open-like
187,PT10M54.00S,2,1610612744,GSW,201939,Curry,S. Curry,-133,224,26,Missed,1,,,0,h,MISS Curry 26' 3PT Jump Shot,Missed Shot,Jump Shot,0,135,21900065,786,11.0,def_reb(24),3,-1,likely_open,subType: open-like
226,PT07M26.00S,2,1610612744,GSW,201939,Curry,S. Curry,-226,46,0,Missed,1,,,0,h,MISS Curry 3PT Jump Shot,Missed Shot,Jump Shot,0,163,21900065,994,22.0,def_reb(24),3,-1,likely_open,"subType: open-like, distance: at-rim/very close, coords: corner-3, corner: catch/spot"
320,PT01M03.00S,2,1610612744,GSW,201939,Curry,S. Curry,230,24,0,Missed,1,,,0,h,MISS Curry 3PT Jump Shot,Missed Shot,Jump Shot,0,235,21900065,1377,22.0,def_reb(24),3,-1,likely_open,"subType: open-like, distance: at-rim/very close, coords: corner-3, corner: catch/spot"
345,PT11M49.00S,3,1610612744,GSW,201939,Curry,S. Curry,98,241,26,Missed,1,,,0,h,MISS Curry 26' 3PT Jump Shot,Missed Shot,Jump Shot,0,253,21900065,1451,13.0,period_start(24),3,-1,likely_open,subType: open-like
38,PT08M50.00S,1,1610612744,GSW,201939,Curry,S. Curry,134,267,30,Missed,1,,,0,h,MISS Curry 30' 3PT Jump Shot,Missed Shot,Jump Shot,1,25,21900929,190,13.0,made_fg(24),3,-2,likely_open,"subType: open-like, distance: deep above-break 3 (>=27ft)"
48,PT08M11.00S,1,1610612744,GSW,201939,Curry,S. Curry,-128,284,31,Missed,1,,,0,h,MISS Curry 31' 3PT Jump Shot,Missed Shot,Jump Shot,1,34,21900929,229,18.0,def_reb(24),3,-2,likely_open,"subType: open-like, distance: deep above-break 3 (>=27ft)"
191,PT10M09.00S,2,1610612744,GSW,201939,Curry,S. Curry,111,128,17,Made,1,31.0,39.0,70,h,Curry 17' Driving Floating Bank Jump Shot (2 PTS),Made Shot,Driving Floating Bank Jump Shot,1,136,21900929,831,13.0,made_fg(24),2,2,likely_contested,subType: contested-like
205,PT09M15.00S,2,1610612744,GSW,201939,Curry,S. Curry,-25,283,28,Missed,1,,,0,h,MISS Curry 28' 3PT Jump Shot,Missed Shot,Jump Shot,1,145,21900929,885,6.0,made_fg(24),3,-2,likely_open,"subType: open-like, distance: deep above-break 3 (>=27ft)"
224,PT08M08.00S,2,1610612744,GSW,201939,Curry,S. Curry,189,205,28,Missed,1,,,0,h,MISS Curry 28' 3PT Jump Shot,Missed Shot,Jump Shot,1,159,21900929,952,10.0,off_reb(14),3,-2,likely_open,"subType: open-like, distance: deep above-break 3 (>=27ft)"
228,PT07M40.00S,2,1610612744,GSW,201939,Curry,S. Curry,-133,255,29,Made,1,38.0,49.0,87,h,Curry 29' 3PT Jump Shot (6 PTS) (Toscano-Anderson 3 AST),Made Shot,Jump Shot,1,163,21900929,980,12.0,def_reb(24),3,-2,likely_open,"subType: open-like, distance: deep above-break 3 (>=27ft)"
