actionNumber,clock,period,teamId,teamTricode,personId,playerName,playerNameI,xLegacy,yLegacy,shotDistance,shotResult,isFieldGoal,scoreHome,scoreAway,pointsTotal,location,description,actionType,subType,videoAvailable,actionId,gameId,ABS_TIME,SHOT_CLOCK_APPROX,SHOT_CLOCK_SOURCE,shotValue,contest_score,contest_label,contest_reasons
10,PT11M31.00S,1,1610612744,GSW,201939,Curry,S. Curry,226,90,24,Made,1,3.0,0.0,3,h,Curry 24' 3PT Step Back Jump Shot (3 PTS) (Durant 1 AST),Made Shot,Step Back Jump shot,1,6,21800002,29,12.0,turnover(24),3,3,likely_contested,"subType: contested-like, text: pressure-move"
58,PT07M57.00S,1,1610612744,GSW,201939,Curry,S. Curry,-2,63,6,Made,1,14.0,8.0,22,h,Curry 6' Driving Floating Jump Shot (5 PTS) (Durant 2 AST),Made Shot,Driving Floating Jump Shot,1,44,21800002,243,9.0,final_ft(24),2,2,likely_contested,subType: contested-like
131,PT03M46.00S,1,1610612744,GSW,201939,Curry,S. Curry,5,29,3,Made,1,24.0,18.0,42,h,Curry 3' Driving Layup (9 PTS) (Green 5 AST),Made Shot,Driving Layup Shot,1,101,21800002,494,8.0,made_fg(24),2,3,likely_contested,"subType: contested-like, distance: at-rim/very close"
141,PT02M58.00S,1,1610612744,GSW,201939,Curry,S. Curry,-6,18,2,Missed,1,,,0,h,MISS Curry 2' Driving Reverse Layup,Missed Shot,Driving Reverse Layup Shot,1,108,21800002,542,14.0,turnover(24),2,3,likely_contested,"subType: contested-like, distance: at-rim/very close"
145,PT02M49.00S,1,1610612744,GSW,201939,Curry,S. Curry,-228,8,0,Made,1,29.0,19.0,48,h,Curry 3PT Jump Shot (12 PTS) (Looney 1 AST),Made Shot,Jump Shot,1,112,21800002,551,11.0,off_reb(14),3,-1,likely_open,"subType: open-like, distance: at-rim/very close, coords: corner-3, corner: catch/spot"
276,PT06M39.00S,2,1610612744,GSW,201939,Curry,S. Curry,96,25,10,Missed,1,,,0,h,MISS Curry 10' Driving Floating Bank Jump Shot,Missed Shot,Driving Floating Bank Jump Shot,1,207,21800002,1041,17.0,def_reb(24),2,3,likely_contested,"subType: contested-like, distance: mid-range"
293,PT06M05.00S,2,1610612744,GSW,201939,Curry,S. Curry,-204,195,28,Made,1,46.0,37.0,83,h,Curry 28' 3PT Jump Shot (15 PTS) (Durant 3 AST),Made Shot,Jump Shot,1,221,21800002,1075,19.0,def_reb(24),3,-2,likely_open,"subType: open-like, distance: deep above-break 3 (>=27ft)"
368,PT01M03.00S,2,1610612744,GSW,201939,Curry,S. Curry,6,25,3,Made,1,55.0,47.0,102,h,Curry 3' Cutting Layup Shot (19 PTS) (Durant 4 AST),Made Shot,Cutting Layup Shot,1,276,21800002,1377,6.0,made_fg(24),2,1,borderline,distance: at-rim/very close
374,PT00M44.20S,2,1610612744,GSW,201939,Curry,S. Curry,113,52,12,Missed,1,,,0,h,MISS Curry 12' Driving Floating Jump Shot,Missed Shot,Driving Floating Jump Shot,1,279,21800002,1396,16.0,def_reb(24),2,3,likely_contested,"subType: contested-like, distance: mid-range"
418,PT09M47.00S,3,1610612744,GSW,201939,Curry,S. Curry,25,281,28,Made,1,62.0,56.0,118,h,Curry 28' 3PT Running Pull-Up Jump Shot (22 PTS),Made Shot,Running Pull-Up Jump Shot,1,308,21800002,1573,11.0,made_fg(24),3,2,likely_contested,"subType: contested-like, text: pressure-move, distance: deep above-break 3 (>=27ft)"
470,PT05M20.00S,3,1610612744,GSW,201939,Curry,S. Curry,5,282,28,Made,1,75.0,71.0,146,h,Curry 28' 3PT Jump Shot (25 PTS) (Looney 2 AST),Made Shot,Jump Shot,1,344,21800002,1840,9.0,off_reb(14),3,-2,likely_open,"subType: open-like, distance: deep above-break 3 (>=27ft)"
474,PT05M03.00S,3,1610612744,GSW,201939,Curry,S. Curry,-21,267,27,Missed,1,,,0,h,MISS Curry 27' 3PT Jump Shot,Missed Shot,Jump Shot,1,347,21800002,1857,18.0,def_reb(24),3,-2,likely_open,"subType: open-like, distance: deep above-break 3 (>=27ft)"
478,PT04M50.00S,3,1610612744,GSW,201939,Curry,S. Curry,144,221,26,Missed,1,,,0,h,MISS Curry 26' 3PT Step Back Jump Shot,Missed Shot,Step Back Jump shot,1,350,21800002,1870,3.0,def_foul_14(14),3,4,likely_contested,"subType: contested-like, text: pressure-move, clock: late (<=5s)"
509,PT03M01.00S,3,1610612744,GSW,201939,Curry,S. Curry,18,257,26,Missed,1,,,0,h,MISS Curry 26' 3PT Jump Shot,Missed Shot,Jump Shot,1,373,21800002,1979,20.0,def_reb(24),3,-1,likely_open,subType: open-like
533,PT01M28.00S,3,1610612744,GSW,201939,Curry,S. Curry,199,173,26,Missed,1,,,0,h,MISS Curry 26' 3PT Jump Shot,Missed Shot,Jump Shot,1,390,21800002,2072,12.0,turnover(24),3,-1,likely_open,subType: open-like
