teamId,opp_fg_pct_allowed,shots_faced,opp_rim_fg_pct_allowed,opp_3pt_pct_allowed,opp_mid_fg_pct_allowed,season_year,season
1610612737,0.4622241706853719,6843,0.5744603000365899,0.36475181260457334,0.4046920821114369,2013,2013-14
1610612738,0.4645692883895131,6675,0.5720338983050848,0.34707018673535095,0.41766329346826125,2013,2013-14
1610612739,0.4523148824302614,6847,0.5785425101214575,0.3672587614018243,0.3979328165374677,2013,2013-14
1610612740,0.4652048119384803,6567,0.5849319846529474,0.35686918445539134,0.402321083172147,2013,2013-14
1610612741,0.4304804804804805,6660,0.5378695828270554,0.35117493472584854,0.39570815450643776,2013,2013-14
1610612742,0.46395923872321293,6673,0.5775,0.3591101694915254,0.3973973973973974,2013,2013-14
1610612743,0.4569573807507762,7086,0.5647260273972603,0.3509280742459397,0.41337630942788073,2013,2013-14
1610612744,0.43627167630057806,6920,0.5489795918367347,0.34359903381642515,0.4021276595744681,2013,2013-14
1610612745,0.442920476586312,7218,0.5532716683795821,0.3525674960296453,0.38648180242634317,2013,2013-14
1610612746,0.4409313020983041,6958,0.5704674220963173,0.3322166387493021,0.37099358974358976,2013,2013-14
1610612747,0.46802721088435373,7350,0.5789473684210527,0.3613673358654368,0.4007029876977153,2013,2013-14
1610612748,0.4572972972972973,6475,0.5709395207303157,0.3620239958268127,0.4142857142857143,2013,2013-14
1610612749,0.46801547158583756,6722,0.5675581799235846,0.38170865279299016,0.41098677517802645,2013,2013-14
1610612750,0.47119750283768447,7048,0.5948305972755851,0.36428571428571427,0.4028906955736224,2013,2013-14
1610612751,0.4576869912455844,6511,0.5629906542056075,0.36736958934517205,0.4019715224534502,2013,2013-14
1610612752,0.45836588033119824,6401,0.563989732306564,0.3711608537220198,0.3954599761051374,2013,2013-14
1610612753,0.45561871447310887,6861,0.5803500397772474,0.37064116985376827,0.383248730964467,2013,2013-14
1610612754,0.4200442151805453,6785,0.5002066969822241,0.34465086483023705,0.3847316704459562,2013,2013-14
1610612755,0.4708243727598566,6975,0.591081921880401,0.36986986986986986,0.3923444976076555,2013,2013-14
