name,team_name,game_date,season,espn_player_id,team_id,espn_game_id,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_type,shot_distance,opponent,x,y,dribbles,touch_time,defender_name,defender_distance,shot_clock
"Willie Reed","Brooklyn Nets",2015-12-14,2015,2326015,1610612751,400828245,4,3,43,1,"Jump Shot","2PT Field Goal",7,"Orlando Magic",61,47,0,0.80,"Dedmon, Dewayne",3.80,24.00
"Hollis Thompson","Philadelphia 76ers",2016-03-06,2015,6634,1610612755,400828822,1,7,57,1,"Jump Shot","3PT Field Goal",24,"Miami Heat",-217,120,0,0.00,,0.00,0.00
"Nik Stauskas","Philadelphia 76ers",2016-02-26,2015,2991042,1610612755,400828749,4,3,23,1,"Jump Shot","3PT Field Goal",22,"Washington Wizards",223,2,0,0.00,,0.00,0.00
"Klay Thompson","Golden State Warriors",2016-01-27,2015,6475,1610612744,400828578,3,7,41,0,"Jump Shot","3PT Field Goal",22,"Dallas Mavericks",228,0,0,0.00,,0.00,0.00
"Jabari Parker","Milwaukee Bucks",2016-04-03,2015,3056600,1610612749,400829037,1,9,05,0,"Jump Shot","2PT Field Goal",18,"Chicago Bulls",10,180,0,0.00,,0.00,0.00
"Hollis Thompson","Philadelphia 76ers",2015-12-28,2015,6634,1610612755,400828354,4,10,11,0,"Jump Shot","3PT Field Goal",24,"Utah Jazz",177,165,0,0.70,"Hood, Rodney",4.80,15.20
"Dirk Nowitzki","Dallas Mavericks",2016-01-10,2015,609,1610612742,400828444,4,8,59,1,"Jump Shot","3PT Field Goal",24,"Minnesota Timberwolves",2,247,0,1.30,"Bjelica, Nemanja",6.10,15.10
"Marcus Smart","Boston Celtics",2016-02-09,2015,2990992,1610612738,400828673,1,4,12,0,"Jump Shot","3PT Field Goal",26,"Milwaukee Bucks",-238,111,0,0.00,,0.00,0.00
"Marcus Thornton","Washington Wizards",2016-04-10,2015,4017,1610612764,400829081,1,1,36,0,"Jump Shot","2PT Field Goal",14,"Charlotte Hornets",-119,77,0,0.00,,0.00,0.00
"Derrick Rose","Chicago Bulls",2015-12-28,2015,3456,1610612741,400828350,3,1,35,0,"Jump Shot","2PT Field Goal",18,"Toronto Raptors",-120,136,3,3.00,"Joseph, Cory",4.30,11.40
"John Wall","Washington Wizards",2015-12-06,2015,4237,1610612764,400828189,1,11,07,0,"Jump Shot","2PT Field Goal",15,"Dallas Mavericks",155,18,0,0.00,"Matthews, Wesley",3.90,16.10
"Tyler Zeller","Boston Celtics",2016-02-02,2015,6631,1610612738,400828617,4,3,29,1,"Jump Shot","2PT Field Goal",3,"New York Knicks",30,23,0,0.00,,0.00,0.00
"DAngelo Russell","Los Angeles Lakers",2016-01-31,2015,3136776,1610612747,400828607,4,4,57,0,"Jump Shot","3PT Field Goal",25,"Charlotte Hornets",-88,237,0,0.00,,0.00,0.00
"Ronnie Price","Phoenix Suns",2016-03-06,2015,2807,1610612756,400828819,4,9,24,0,"Jump Shot","3PT Field Goal",25,"Memphis Grizzlies",-171,185,0,0.00,,0.00,0.00
"Brian Roberts","Charlotte Hornets",2016-01-31,2015,6641,1610612766,400828607,4,10,34,0,"Jump Shot","3PT Field Goal",25,"Los Angeles Lakers",-153,198,0,0.00,,0.00,0.00
"Chris Paul","Los Angeles Clippers",2016-01-13,2015,2779,1610612746,400828473,1,5,07,1,"Jump Shot","2PT Field Goal",5,"Miami Heat",-14,51,1,2.20,"Winslow, Justise",3.00,16.10
"Evan Turner","Boston Celtics",2015-12-05,2015,4239,1610612738,400828183,2,2,12,0,"Jump Shot","2PT Field Goal",15,"San Antonio Spurs",-138,80,2,2.70,"Diaw, Boris",3.90,11.10
"Kristaps Porzingis","New York Knicks",2016-03-20,2015,3102531,1610612752,400828929,1,5,06,0,"Jump Shot","2PT Field Goal",18,"Sacramento Kings",117,149,0,0.00,,0.00,0.00
"Tayshaun Prince","Minnesota Timberwolves",2016-01-20,2015,1724,1610612750,400828524,3,4,47,0,"Jump Shot","3PT Field Goal",22,"Dallas Mavericks",-222,16,0,0.90,"Parsons, Chandler",7.10,15.70
"Nerlens Noel","Philadelphia 76ers",2015-12-20,2015,2991280,1610612755,400828292,4,7,26,0,"Jump Shot","2PT Field Goal",18,"Cleveland Cavaliers",-107,146,0,1.20,"Varejao, Anderson",8.90,16.80
"Garrett Temple","Washington Wizards",2015-12-30,2015,4023,1610612764,400828364,1,8,04,1,"Jump Shot","3PT Field Goal",23,"Toronto Raptors",225,56,0,0.70,"Carroll, DeMarre",7.00,16.10
"Dwyane Wade","Miami Heat",2016-02-09,2015,1987,1610612748,400828671,2,2,19,1,"Jump Shot","2PT Field Goal",16,"San Antonio Spurs",19,159,0,0.00,,0.00,0.00
"Lou Williams","Los Angeles Lakers",2016-01-31,2015,,1610612747,400828607,1,5,46,0,"Jump Shot","2PT Field Goal",15,"Charlotte Hornets",-158,2,0,0.00,,0.00,0.00
"Klay Thompson","Golden State Warriors",2016-01-13,2015,6475,1610612744,400828470,4,0,03,1,"Jump Shot","3PT Field Goal",25,"Denver Nuggets",-112,234,0,0.40,"Harris, Gary",3.40,0.00
"Otto Porter","Washington Wizards",2015-12-06,2015,,1610612764,400828189,1,2,21,1,"Jump Shot","2PT Field Goal",20,"Dallas Mavericks",38,198,0,1.00,"Felton, Raymond",12.50,12.20
"Ish Smith","Philadelphia 76ers",2016-03-06,2015,4305,1610612755,400828822,4,8,47,0,"Jump Shot","3PT Field Goal",25,"Miami Heat",191,169,0,0.00,,0.00,0.00
"Kemba Walker","Charlotte Hornets",2015-12-19,2015,6479,1610612766,400828286,4,1,52,0,"Jump Shot","3PT Field Goal",25,"Washington Wizards",97,234,9,8.40,"Wall, John",5.60,16.10
"Marcus Thornton","Washington Wizards",2016-04-10,2015,4017,1610612764,400829081,2,4,28,0,"Jump Shot","2PT Field Goal",11,"Charlotte Hornets",-96,70,0,0.00,,0.00,0.00
"Jared Sullinger","Boston Celtics",2015-12-05,2015,6624,1610612738,400828183,2,3,49,0,"Jump Shot","2PT Field Goal",15,"San Antonio Spurs",150,26,0,0.00,"Aldridge, LaMarcus",6.00,17.00
"Thabo Sefolosha","Atlanta Hawks",2016-03-05,2015,3028,1610612737,400828816,1,5,23,0,"Jump Shot","2PT Field Goal",18,"Los Angeles Clippers",-163,90,0,0.00,,0.00,0.00
"Lou Williams","Los Angeles Lakers",2016-01-31,2015,,1610612747,400828607,3,9,48,0,"Jump Shot","3PT Field Goal",24,"Charlotte Hornets",81,229,0,0.00,,0.00,0.00
"Hollis Thompson","Philadelphia 76ers",2016-03-06,2015,6634,1610612755,400828822,3,3,12,1,"Jump Shot","3PT Field Goal",23,"Miami Heat",-237,21,0,0.00,,0.00,0.00
"Mike Scott","Atlanta Hawks",2016-03-28,2015,6622,1610612737,400828986,2,7,49,1,"Jump Shot","3PT Field Goal",23,"Chicago Bulls",-233,21,0,0.00,,0.00,0.00
"Chris Paul","Los Angeles Clippers",2016-01-13,2015,2779,1610612746,400828473,3,9,12,1,"Jump Shot","3PT Field Goal",24,"Miami Heat",17,244,0,1.00,"Udrih, Beno",4.10,10.20
