name,team_name,game_date,season,espn_player_id,team_id,espn_game_id,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_type,shot_distance,opponent,x,y,dribbles,touch_time,defender_name,defender_distance,shot_clock
"Ian Mahinmi","Indiana Pacers",2015-12-02,2015,2774,1610612754,400828163,1,3,43,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Los Angeles Clippers",0,1,0,0.00,"Rivers, Austin",4.70,20.50
"DeAndre Jordan","Los Angeles Clippers",2016-02-26,2015,3442,1610612746,400828754,2,6,00,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Sacramento Kings",0,1,0,0.00,,0.00,0.00
"Timofey Mozgov","Cleveland Cavaliers",2015-12-04,2015,4298,1610612739,400828175,1,9,27,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"New Orleans Pelicans",0,1,0,0.00,"Gordon, Eric",3.50,23.00
"Markieff Morris","Washington Wizards",2016-03-08,2015,6461,1610612764,400828835,3,9,20,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Portland Trail Blazers",0,1,0,0.00,,0.00,0.00
"Timofey Mozgov","Cleveland Cavaliers",2015-12-04,2015,4298,1610612739,400828175,3,11,08,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"New Orleans Pelicans",0,1,0,0.00,"Asik, Omer",4.80,11.00
"DeAndre Jordan","Los Angeles Clippers",2015-12-19,2015,3442,1610612746,400828288,3,6,31,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Houston Rockets",0,1,0,0.00,"Harden, James",13.40,9.30
"DeAndre Jordan","Los Angeles Clippers",2015-11-02,2015,3442,1610612746,400827939,2,6,20,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Phoenix Suns",0,1,0,0.00,"Warren, TJ",3.70,18.90
"DeAndre Jordan","Los Angeles Clippers",2015-12-25,2015,3442,1610612746,400828327,3,8,44,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Los Angeles Lakers",0,1,1,0.50,"Hibbert, Roy",6.90,24.00
"DeAndre Jordan","Los Angeles Clippers",2015-11-22,2015,3442,1610612746,400828083,1,0,56,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Toronto Raptors",0,1,0,0.40,"Carroll, DeMarre",7.90,16.10
"JaVale McGee","Dallas Mavericks",2016-01-10,2015,3452,1610612742,400828444,3,1,29,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Minnesota Timberwolves",0,1,0,0.00,"Pekovic, Nikola",1.30,7.70
"Wesley Johnson","Los Angeles Clippers",2015-11-19,2015,4247,1610612746,400828064,2,2,07,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Golden State Warriors",0,1,0,0.00,"Bogut, Andrew",5.60,14.40
"DeAndre Jordan","Los Angeles Clippers",2015-12-25,2015,3442,1610612746,400828327,2,2,41,0,"Alley Oop Dunk Shot","2PT Field Goal",0,"Los Angeles Lakers",0,1,0,0.80,"Nance Jr., Larry",2.30,7.90
"DeAndre Jordan","Los Angeles Clippers",2015-11-22,2015,3442,1610612746,400828083,1,8,40,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Toronto Raptors",0,1,0,0.00,"Scola, Luis",6.60,17.70
"Timofey Mozgov","Cleveland Cavaliers",2016-01-30,2015,4298,1610612739,400828600,2,4,20,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"San Antonio Spurs",0,1,0,0.00,,0.00,0.00
"Andre Iguodala","Golden State Warriors",2015-11-17,2015,2386,1610612744,400828051,2,2,53,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Toronto Raptors",0,1,0,0.00,"Scola, Luis",11.70,19.20
"DeAndre Jordan","Los Angeles Clippers",2016-01-31,2015,3442,1610612746,400828601,4,5,18,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Chicago Bulls",0,1,0,0.00,,0.00,0.00
"DeAndre Jordan","Los Angeles Clippers",2015-11-19,2015,3442,1610612746,400828064,4,9,35,0,"Alley Oop Dunk Shot","2PT Field Goal",1,"Golden State Warriors",3,19,0,0.00,"Ezeli, Festus",4.00,9.20
"DeAndre Jordan","Los Angeles Clippers",2015-12-05,2015,3442,1610612746,400828185,4,4,13,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Orlando Magic",0,1,0,0.00,"Payton, Elfrid",4.90,14.90
"Timofey Mozgov","Cleveland Cavaliers",2015-12-26,2015,4298,1610612739,400828340,2,1,33,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Portland Trail Blazers",0,1,0,0.00,"Plumlee, Mason",2.60,16.10
"DeAndre Jordan","Los Angeles Clippers",2016-03-16,2015,3442,1610612746,400828896,2,2,32,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Houston Rockets",0,1,0,0.00,,0.00,0.00
"Paul Millsap","Atlanta Hawks",2015-12-26,2015,3015,1610612737,400828329,2,3,14,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"New York Knicks",0,1,0,0.00,"Calderon, Jose",7.10,19.10
"Zach LaVine","Minnesota Timberwolves",2016-03-05,2015,3064440,1610612750,400828813,3,11,03,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Brooklyn Nets",0,1,0,0.00,,0.00,0.00
"DeAndre Jordan","Los Angeles Clippers",2015-12-26,2015,3442,1610612746,400828339,1,11,42,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Utah Jazz",0,1,1,0.60,"Neto, Raul",3.00,24.00
"JaVale McGee","Dallas Mavericks",2015-12-23,2015,3452,1610612742,400828315,1,3,24,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Brooklyn Nets",0,1,0,0.70,"Lopez, Brook",3.10,12.40
"Alex Len","Phoenix Suns",2016-02-08,2015,2596107,1610612756,400828670,1,1,02,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Oklahoma City Thunder",0,1,0,0.00,,0.00,0.00
"Kawhi Leonard","San Antonio Spurs",2016-02-03,2015,6450,1610612759,400828629,1,8,53,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"New Orleans Pelicans",0,1,0,0.00,,0.00,0.00
"DeAndre Jordan","Los Angeles Clippers",2016-02-08,2015,3442,1610612746,400828664,4,4,30,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Philadelphia 76ers",0,1,0,0.00,,0.00,0.00
"DeAndre Jordan","Los Angeles Clippers",2016-02-03,2015,3442,1610612746,400828632,3,9,35,1,"Alley Oop Dunk Shot","2PT Field Goal",2,"Minnesota Timberwolves",-17,16,0,0.00,,0.00,0.00
"Zach LaVine","Minnesota Timberwolves",2016-03-14,2015,3064440,1610612750,400828882,1,11,12,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Phoenix Suns",0,1,0,0.00,,0.00,0.00
"DeAndre Jordan","Los Angeles Clippers",2016-02-20,2015,3442,1610612746,400828709,3,2,34,0,"Alley Oop Dunk Shot","2PT Field Goal",0,"Golden State Warriors",0,1,0,0.00,,0.00,0.00
"Timofey Mozgov","Cleveland Cavaliers",2016-01-25,2015,4298,1610612739,400828554,3,0,49,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Minnesota Timberwolves",0,1,0,0.00,,0.00,0.00
"DeAndre Jordan","Los Angeles Clippers",2016-02-20,2015,3442,1610612746,400828709,3,0,35,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Golden State Warriors",0,1,0,0.00,,0.00,0.00
