personId,playerName,total_shots,actual_points,exp_points,points_diff,pct_diff,se,z,ci_lo,ci_hi,significant,shrinkage,points_diff_shrunk
203999,Jokić,1364,1710,1377.1099114054443,332.89008859455566,24.17309510573606,39.847933791052014,8.354011285506282,254.7881383640937,410.99203882501763,above,0.8603091222855632,286.663354987011
201142,Durant,1124,1344,1122.7278738053326,221.2721261946674,19.708437935605517,38.45505063803132,5.754045893150729,145.90022694412602,296.6440254452088,above,0.8178673973984294,181.2666949638353
202696,Vučević,1038,1229,1063.500162642713,165.4998373572871,15.561806492444086,36.501339498090196,4.534075725246913,93.95721194103032,237.0424627735439,above,0.8095442338735462,134.26473942178177
1630202,Pritchard,866,1073,914.2435013884431,158.75649861155694,17.364793774356247,38.7870721245532,4.093026101628848,82.73383724743267,234.77915997568118,above,0.723770648906867,115.24851611781364
1628983,Gilgeous-Alexander,1656,1883,1741.663342590922,141.33665740907804,8.115038879949308,45.32476431850784,3.118309814384735,52.500119344802684,230.17319547335342,above,0.875256875029142,124.00399883502789
1627734,Sabonis,893,1119,979.102703208424,139.89729679157597,14.288316877600908,30.886821523672335,4.529352322133749,79.35912660517819,200.43546697797376,above,0.8145969258950561,114.19884262828933
1627783,Siakam,1182,1352,1219.740357616133,132.259642383867,10.843261974405435,38.209784762535726,3.461407678840058,57.36846424929698,207.15082051843703,above,0.8341584246854646,110.60838765637853
203897,LaVine,1223,1489,1360.1751284204142,128.82487157958576,9.471197413320699,41.55373055863936,3.10019990618633,47.37955968465262,210.2701834745189,above,0.8199187191392471,105.94376175959934
1629660,Jerome,618,749,629.9827448089651,119.0172551910349,18.892145248696536,29.47614275959057,4.037748634946837,61.24401538223739,176.79049499983242,above,0.6979303554158599,83.33516070134048
201939,Curry,1258,1439,1322.8744591574573,116.1255408425427,8.778273708338387,45.44970974949128,2.5550337171040463,27.0441097335398,205.2069719515456,above,0.801069348463627,93.38576600060618
1627826,Zubac,942,1184,1068.4027018246397,115.59729817536027,10.819637387470179,28.56027735117826,4.047485140076599,59.61915456705088,171.57544178366965,above,0.8511468071606697,98.59262905015744
1628991,Jackson Jr.,1213,1330,1215.0627755875626,114.93722441243744,9.459365122666831,39.682392096175946,2.8964288275230654,37.1597359039326,192.7147129209423,above,0.830832086969604,95.78966897952779
201942,DeRozan,1308,1332,1218.7580548431815,113.24194515681847,9.291585373061546,39.11809508609187,2.894873712730474,36.570478788078404,189.91341152555856,above,0.8545802469518097,97.04882925026968
2544,James,1270,1451,1339.102948498109,111.89705150189093,8.356120164427294,40.050204885561705,2.793919577231186,33.39864992618999,190.39545307759187,above,0.8408978867845741,94.38559617553648
1629639,Herro,1378,1553,1447.1162366930146,105.88376330698543,7.316880332222213,45.35035688467666,2.334794488525013,16.99706381301918,194.7704628009517,above,0.8291461674432437,88.13288637374087
1630169,Haliburton,1006,1170,1073.3233241163143,96.67667588368568,9.00722771148957,39.75401468585906,2.431872017144337,18.75880709940192,174.59454466796944,above,0.7709530139713386,74.86570664711859
1626157,Towns,1215,1420,1324.855097668085,95.14490233191509,7.181532720022162,38.323696769294585,2.482665044154779,20.0304566640977,170.25934799973248,above,0.8408423689872142,80.28093601590321
201572,Lopez,774,927,832.4320146200821,94.5679853799179,11.36044550413865,33.28079313881234,2.8415183792489582,29.337630827845715,159.79833993199009,above,0.7397808988925022,70.25025307114382
1627736,Beasley,1071,1241,1147.1133434582707,93.88665654172928,8.18460155460171,43.247673268275626,2.170906535464416,9.121216935909061,178.6520961475495,above,0.7632275216692421,72.02283845949778
