personId,season_year,season,fg_pct,fg3_pct,fg2_pct,total_attempts,fg3_attempts,fg2_attempts
708,2013,2013-14,0.4410112359550562,0.0,0.4447592067988669,356,3,353
951,2013,2013-14,0.4419889502762431,0.37540453074433655,0.5299145299145299,543,309,234
959,2013,2013-14,0.3829787234042553,0.3333333333333333,0.4,94,24,70
965,2013,2013-14,0.39058171745152354,0.38427947598253276,0.4015151515151515,361,229,132
977,2013,2013-14,0.4246575342465753,0.1875,0.49122807017543857,73,16,57
979,2013,2013-14,0.5040322580645161,0.0,0.5040322580645161,248,0,248
1495,2013,2013-14,0.4900662251655629,0.0,0.49278579356270813,906,5,901
1497,2013,2013-14,0.3037974683544304,0.2916666666666667,0.3225806451612903,79,48,31
1536,2013,2013-14,0.23076923076923078,0.07142857142857142,0.4166666666666667,26,14,12
1712,2013,2013-14,0.31521739130434784,0.1951219512195122,0.4117647058823529,92,41,51
1713,2013,2013-14,0.406905055487053,0.3935309973045822,0.41818181818181815,811,371,440
1717,2013,2013-14,0.49725058915946585,0.3981762917933131,0.5317796610169492,1273,329,944
1718,2013,2013-14,0.4508426966292135,0.37333333333333335,0.5072815533980582,712,300,412
1733,2013,2013-14,0.3961352657004831,0.34,0.4485981308411215,207,100,107
1737,2013,2013-14,0.42857142857142855,0.0,0.42857142857142855,126,0,126
1740,2013,2013-14,0.4152542372881356,0.34328358208955223,0.5098039215686274,236,134,102
1882,2013,2013-14,0.5391566265060241,0.0,0.5424242424242425,332,2,330
1889,2013,2013-14,0.4588744588744589,0.5238095238095238,0.4523809523809524,231,21,210
1890,2013,2013-14,0.481638418079096,0.35802469135802467,0.5183150183150184,708,162,546
1891,2013,2013-14,0.3618421052631579,0.3786407766990291,0.32653061224489793,152,103,49
1897,2013,2013-14,0.3971631205673759,0.3148148148148148,0.4482758620689655,141,54,87
1905,2013,2013-14,0.5125,0.2,0.5225806451612903,160,5,155
1938,2013,2013-14,0.4688995215311005,0.3488372093023256,0.5528455284552846,627,258,369
2030,2013,2013-14,0.5121951219512195,0.0,0.5163934426229508,123,1,122
2034,2013,2013-14,0.48081264108352145,0.4592274678111588,0.5047619047619047,443,233,210
2037,2013,2013-14,0.41641938674579626,0.3609865470852018,0.46017699115044247,1011,446,565
2045,2013,2013-14,0.3853211009174312,0.44,0.3389830508474576,109,50,59
2199,2013,2013-14,0.593167701863354,0.0,0.5950155763239875,322,1,321
2200,2013,2013-14,0.480225988700565,0.2857142857142857,0.4833524684270953,885,14,871
2203,2013,2013-14,0.38181818181818183,0.3476190476190476,0.49230769230769234,275,210,65
2207,2013,2013-14,0.4538310412573674,0.400990099009901,0.48859934853420195,1018,404,614
2210,2013,2013-14,0.44954128440366975,0.40863787375415284,0.48441926345609065,654,301,353
2215,2013,2013-14,0.4583333333333333,0.0,0.5238095238095238,24,3,21
2216,2013,2013-14,0.4674457429048414,0.1,0.47368421052631576,1198,20,1178
2222,2013,2013-14,0.5043478260869565,0.296875,0.5843373493975904,230,64,166
2223,2013,2013-14,0.5676392572944297,0.0,0.5691489361702128,377,1,376
2224,2013,2013-14,0.2,0.06666666666666667,0.6,20,15,5
