personId,playerName,total_shots,actual_points,exp_points,points_diff,pct_diff
203552,Curry,343,411,336.3350723361615,74.66492766383851,22.199500382228507
1641729,Sensabaugh,599,707,607.0897941354593,99.91020586454067,16.457209832479826
1642419,Battle,347,403,348.0055934064702,54.99440659352979,15.802690993643493
1630249,Krejčí,278,366,316.5153836624361,49.48461633756392,15.634140566429302
201145,Green,121,151,131.01407590995382,19.985924090046183,15.254675045017288
1630314,Williams,188,220,190.91100713771894,29.08899286228106,15.23685874890887
1642349,Mitchell,184,205,177.9002310540552,27.09976894594479,15.233041831908704
1642366,Post,274,319,277.7828195869873,41.21718041301273,14.83786221756724
1642272,McCain,274,303,264.933666560236,38.06633343976398,14.368196481795318
1641810,Reeves,248,277,242.71182302974998,34.28817697025002,14.127056223167584
1629013,Shamet,230,274,240.75003726067177,33.249962739328225,13.810932288248887
1630538,Hyland,118,126,111.47871899901197,14.521281000988026,13.02593972372385
1630202,Pritchard,866,1073,950.0487776574096,122.95122234259043,12.941555825186137
1628988,Holiday,268,306,271.1335210351637,34.86647896483629,12.859476112344403
1629618,Pickett,180,194,172.28477350287042,21.715226497129578,12.604190151990572
1642271,Filipowski,518,597,531.7868577590067,65.2131422409933,12.262999481749414
1641854,Porter Jr.,140,165,147.35268408722766,17.647315912772342,11.976161995600881
203114,Middleton,337,368,328.9810135246384,39.0189864753616,11.860522725033222
202709,Joseph,154,163,145.7254224763972,17.2745775236028,11.854114875015686
1631260,Green,424,519,467.79445769933375,51.20554230066625,10.946139270462433
1628379,Kennard,431,525,473.8123519747326,51.18764802526738,10.803335915277689
1630692,Goodwin,144,152,137.2096661857326,14.790333814267399,10.779288684632391
1630539,Jones,109,175,158.22760599804087,16.772394001959128,10.600102235727714
1642261,Knecht,557,642,580.8857339954685,61.11426600453149,10.520857583400801
1629003,Milton,254,268,242.79375057450065,25.20624942549935,10.3817110402331
1641721,Lewis,108,109,98.80741294951305,10.19258705048695,10.315505275542613
203926,McDermott,117,144,130.5723468071705,13.427653192829496,10.283609573597992
1627824,Yabusele,563,668,607.1702931447676,60.829706855232416,10.018541314786571
1629660,Jerome,618,749,681.2523222779895,67.74767772201051,9.944564746557766
1631204,Sasser,296,332,302.3247812384039,29.675218761596113,9.81564279435211
203897,LaVine,1223,1489,1356.825053119886,132.17494688011402,9.741480610295692
203999,Jokić,1364,1710,1562.021404043658,147.9785959563419,9.473525832489017
1630169,Haliburton,1006,1170,1073.0407212637201,96.95927873627988,9.035928129811303
1631165,Ellis,464,593,544.9391405767617,48.0608594232383,8.819474992679185
1642348,Edwards,378,413,380.18245869917274,32.81754130082726,8.632027656625311
1631223,Roddy,125,133,122.44535833416488,10.55464166583512,8.619808550802913
1631157,Rollins,271,313,288.46556888689247,24.53443111310753,8.505121133370386
1630558,Mitchell,476,530,488.5795134441976,41.42048655580243,8.477719723984285
1629626,Bol,183,224,206.76561860079866,17.23438139920134,8.335185590317899
202687,Biyombo,114,134,123.8879725290694,10.112027470930599,8.162169129748738
1641774,Vukcevic,242,278,257.049314089647,20.950685910353002,8.150422217747765
1630288,Dowtin Jr.,230,252,233.08262737989776,18.917372620102242,8.116131035351206
1631103,Branham,190,208,192.44403040181024,15.555969598189762,8.083331414539574
1641732,Jones,129,134,123.98186747784148,10.018132522158524,8.080255543330605
203903,Clarkson,492,486,450.41767576621544,35.58232423378456,7.899833232548543
1630572,Mamukelashvili,281,342,316.9874689673247,25.012531032675327,7.890675365624619
1631255,Matković,230,287,266.06492203824314,20.93507796175686,7.868380062121502
201587,Batum,238,296,274.9259842876118,21.07401571238819,7.665313671189818
1631221,Gillespie,158,175,163.10487065292546,11.895129347074544,7.292888538871972
1630198,Joe,588,710,662.2130550704109,47.78694492958914,7.21623839960753
1630573,Hauser,474,594,554.2545944277164,39.74540557228363,7.170952530180921
1627751,Poeltl,411,527,492.9143706520109,34.085629347989084,6.915107821227369
1641740,Clark,120,134,125.337378351166,8.662621648834005,6.911388006444091
1629634,Clarke,380,473,442.6229910918544,30.377008908145626,6.862937734850825
1629656,Grimes,823,930,870.5652970661705,59.4347029338295,6.827131159812399
203937,Anderson,303,309,289.4479368341564,19.552063165843606,6.754926578654604
202696,Vučević,1038,1229,1152.2603503270418,76.7396496729582,6.659917010249236
1641716,Walker,360,415,389.13174284303943,25.868257156960567,6.647669113620385
1629674,Queta,203,264,247.61840437376637,16.381595626233633,6.615634856106274
203932,Gordon,497,603,566.213319955387,36.786680044613036,6.496953317519686
1630551,Champagnie,411,494,464.17607869788395,29.823921302116048,6.42511719574317
1629111,Landale,152,173,162.72094821573066,10.279051784269342,6.316942426624441
101108,Paul,583,638,601.1181811388982,36.881818861101806,6.135525203375547
1630643,Huff,305,395,372.2322907272643,22.767709272735715,6.116516131121018
1630215,Butler,453,466,439.957939615606,26.042060384394006,5.919202461744968
1631222,LaRavia,337,380,358.90484462509795,21.09515537490205,5.877629381304003
1630174,Nesmith,379,468,442.0596498893207,25.940350110679276,5.8680522948998055
1631124,Strawther,486,514,485.56700508717915,28.432994912820845,5.8556154060677805
1629639,Herro,1378,1553,1467.1389962637902,85.8610037362098,5.85227067320521
1626181,Powell,945,1093,1033.4097967403575,59.59020325964252,5.766361590918664
201572,Lopez,774,927,876.645871922127,50.35412807787304,5.7439465867786765
1629636,Garland,1174,1320,1249.7745697300702,70.2254302699298,5.61904328831594
1631213,Martin,465,477,452.1661535164684,24.8338464835316,5.492182767014528
1627750,Murray,1121,1218,1155.3747106505873,62.6252893494127,5.42033978835756
1630200,Jones,238,275,260.9423884934239,14.057611506576109,5.387226550455551
1627780,Payton II,298,373,354.18984440659614,18.810155593403863,5.3107402098205
1630559,Reaves,1037,1154,1095.9651910107568,58.034808989243174,5.295310153292272
1642267,Carrington,748,738,700.9978748781713,37.002125121828726,5.278485664939112
1631128,Braun,821,1041,989.6982380070035,51.30176199299649,5.183570929720515
1631216,Houstan,190,224,213.06584901906888,10.934150980931122,5.1317936278076495
202692,Burks,271,318,302.76193922369316,15.238060776306838,5.033000675504859
1629622,Strus,373,443,421.8673946852213,21.132605314778687,5.009288579332154
1629599,Coffey,510,581,553.3288575931323,27.671142406867716,5.000840281280198
1631209,Wong,105,95,90.49021277931627,4.509787220683734,4.983674195727591
1630534,Agbaji,534,633,602.9622969880461,30.03770301195391,4.981680172242626
1629645,Porter Jr.,652,641,610.8291777852177,30.170822214782334,4.939314282764711
1641764,Podziemski,629,675,643.2528810086233,31.747118991376738,4.935394861760834
1631232,Brooks Jr.,109,120,114.48263274040201,5.5173672595979895,4.819350266521438
202685,Valančiūnas,627,698,665.9578709807141,32.04212901928588,4.8114276144560595
1628418,Bryant,321,374,356.8935332286728,17.106466771327177,4.793143401937894
1642345,Ighodaro,187,226,215.67918018668624,10.320819813313761,4.785242577403437
1629611,Mann,413,470,448.807091050436,21.192908949564014,4.722042532691864
1631093,Ivey,413,443,423.20505445981235,19.794945540187655,4.6773776820027475
203084,Barnes,683,850,812.3286574777649,37.671342522235136,4.637445177023625
1630544,Mann,161,164,156.77871071169943,7.221289288300568,4.606010086075309
1642265,Dillingham,211,211,201.93640481269045,9.063595187309545,4.488319138158973
1630811,Wallace,162,157,150.29697565491617,6.703024345083833,4.459823437990916
1628401,White,959,1113,1066.028165017904,46.97183498209597,4.406242955023381
1629661,Johnson,747,869,833.0036926964099,35.99630730359013,4.321261046810099
201142,Durant,1124,1344,1288.7215105733155,55.27848942668447,4.28940202201424
