actionNumber,clock,period,teamId,teamTricode,personId,playerName,playerNameI,xLegacy,yLegacy,shotDistance,shotResult,isFieldGoal,scoreHome,scoreAway,pointsTotal,location,description,actionType,subType,videoAvailable,actionId,gameId,ABS_TIME,SHOT_CLOCK_APPROX,SHOT_CLOCK_SOURCE,shotValue,contest_score,contest_label,contest_reasons
50,PT07M29.00S,1,1610612744,GSW,201939,Curry,S. Curry,-81,72,11,Made,1,7.0,9.0,16,v,Curry 11' Running Jump Shot (3 PTS) (Barnes 1 AST),Made Shot,Running Jump Shot,1,53,21400014,271,15.0,def_reb(24),2,0,likely_open,"subType: open-like, distance: mid-range"
74,PT05M09.00S,1,1610612744,GSW,201939,Curry,S. Curry,65,246,25,Missed,1,0.0,0.0,0,v,MISS Curry 25' 3PT Jump Shot,Missed Shot,Jump Shot,1,75,21400014,411,7.0,def_foul_14(14),3,-1,likely_open,subType: open-like
176,PT08M49.00S,2,1610612744,GSW,201939,Curry,S. Curry,23,15,3,Made,1,29.0,29.0,58,v,Curry 3' Driving Layup (7 PTS) (Thompson 3 AST),Made Shot,Driving Layup Shot,1,171,21400014,911,12.0,off_foul(24),2,3,likely_contested,"subType: contested-like, distance: at-rim/very close"
205,PT06M43.00S,2,1610612744,GSW,201939,Curry,S. Curry,-11,7,1,Made,1,31.0,36.0,67,v,Curry 1' Driving Layup (12 PTS),Made Shot,Driving Layup Shot,1,195,21400014,1037,19.0,turnover(24),2,3,likely_contested,"subType: contested-like, distance: at-rim/very close"
227,PT05M36.00S,2,1610612744,GSW,201939,Curry,S. Curry,-164,187,25,Missed,1,0.0,0.0,0,v,MISS Curry 25' 3PT Jump Shot,Missed Shot,Jump Shot,1,213,21400014,1104,18.0,def_reb(24),3,-1,likely_open,subType: open-like
238,PT04M59.00S,2,1610612744,GSW,201939,Curry,S. Curry,-4,102,10,Missed,1,0.0,0.0,0,v,MISS Curry 10' Jump Shot,Missed Shot,Jump Shot,1,221,21400014,1141,11.0,final_ft(24),2,0,likely_open,"subType: open-like, distance: mid-range"
305,PT01M06.00S,2,1610612744,GSW,201939,Curry,S. Curry,-78,34,9,Missed,1,0.0,0.0,0,v,MISS Curry 9' Jump Shot,Missed Shot,Jump Shot,1,275,21400014,1374,15.0,def_reb(24),2,0,likely_open,"subType: open-like, distance: mid-range"
349,PT10M18.00S,3,1610612744,GSW,201939,Curry,S. Curry,-229,26,0,Missed,1,0.0,0.0,0,v,MISS Curry  3PT Jump Shot,Missed Shot,Jump Shot,1,311,21400014,1542,7.0,turnover(24),3,-1,likely_open,"subType: open-like, distance: at-rim/very close, coords: corner-3, corner: catch/spot"
378,PT08M02.00S,3,1610612744,GSW,201939,Curry,S. Curry,-54,246,25,Missed,1,0.0,0.0,0,v,MISS Curry 25' 3PT Jump Shot,Missed Shot,Jump Shot,1,338,21400014,1678,13.0,keep_clock(23),3,-1,likely_open,subType: open-like
431,PT04M26.00S,3,1610612744,GSW,201939,Curry,S. Curry,-18,246,25,Made,1,54.0,60.0,114,v,Curry 25' 3PT Jump Shot (15 PTS),Made Shot,Jump Shot,1,388,21400014,1894,18.0,def_reb(24),3,-1,likely_open,subType: open-like
454,PT02M33.00S,3,1610612744,GSW,201939,Curry,S. Curry,18,19,3,Missed,1,0.0,0.0,0,v,MISS Curry 3' Layup,Missed Shot,Layup Shot,1,410,21400014,2007,,stale_reset(24),2,1,borderline,distance: at-rim/very close
492,PT00M42.90S,3,1610612744,GSW,201939,Curry,S. Curry,37,247,25,Missed,1,0.0,0.0,0,v,MISS Curry 25' 3PT Jump Shot,Missed Shot,Jump Shot,1,441,21400014,2118,20.0,def_reb(24),3,-1,likely_open,subType: open-like
566,PT05M58.00S,4,1610612744,GSW,201939,Curry,S. Curry,34,22,4,Made,1,69.0,82.0,151,v,Curry 4' Driving Layup (19 PTS),Made Shot,Driving Layup Shot,1,510,21400014,2522,17.0,def_reb(24),2,3,likely_contested,"subType: contested-like, distance: at-rim/very close"
588,PT03M27.00S,4,1610612744,GSW,201939,Curry,S. Curry,-26,17,3,Made,1,73.0,89.0,162,v,Curry 3' Driving Layup (21 PTS),Made Shot,Driving Layup Shot,1,529,21400014,2673,1.0,final_ft(24),2,4,likely_contested,"subType: contested-like, distance: at-rim/very close, clock: late (<=5s)"
599,PT02M12.00S,4,1610612744,GSW,201939,Curry,S. Curry,-164,200,26,Missed,1,0.0,0.0,0,v,MISS Curry 26' 3PT Jump Shot,Missed Shot,Jump Shot,1,537,21400014,2748,1.0,turnover(24),3,0,likely_open,"subType: open-like, clock: late (<=5s)"
605,PT01M31.00S,4,1610612744,GSW,201939,Curry,S. Curry,225,99,25,Made,1,75.0,92.0,167,v,Curry 25' 3PT Jump Shot (24 PTS) (Thompson 6 AST),Made Shot,Jump Shot,1,546,21400014,2789,2.0,turnover(24),3,0,likely_open,"subType: open-like, clock: late (<=5s)"
615,PT00M30.90S,4,1610612744,GSW,201939,Curry,S. Curry,209,126,24,Missed,1,0.0,0.0,0,v,MISS Curry 24' 3PT Jump Shot,Missed Shot,Jump Shot,1,556,21400014,2850,11.0,def_reb(24),3,-1,likely_open,subType: open-like
8,PT10M44.00S,1,1610612744,GSW,201939,Curry,S. Curry,-23,36,4,Missed,1,0.0,0.0,0,h,MISS Curry 4' Jump Shot,Missed Shot,Jump Shot,1,9,21400038,76,17.0,def_reb(24),2,0,likely_open,"subType: open-like, distance: at-rim/very close"
41,PT06M52.00S,1,1610612744,GSW,201939,Curry,S. Curry,-138,132,19,Made,1,11.0,13.0,24,h,Curry 19' Pullup Jump Shot (2 PTS),Made Shot,Pullup Jump shot,1,40,21400038,308,14.0,def_reb(24),2,3,likely_contested,"subType: contested-like, text: pressure-move"
