actionNumber,clock,period,teamId,teamTricode,personId,playerName,playerNameI,xLegacy,yLegacy,shotDistance,shotResult,isFieldGoal,scoreHome,scoreAway,pointsTotal,location,description,actionType,subType,videoAvailable,actionId,gameId,ABS_TIME,SHOT_CLOCK_APPROX,SHOT_CLOCK_SOURCE,shotValue,contest_score,contest_label,contest_reasons
19,PT09M02.00S,1,1610612744,GSW,201939,Curry,S. Curry,130,257,29,Missed,1,0.0,0.0,0,h,MISS Curry 29' 3PT Jump Shot,Missed Shot,Jump Shot,1,21,21600003,178,16.0,def_reb(24),3,-2,likely_open,"subType: open-like, distance: deep above-break 3 (>=27ft)"
28,PT08M06.00S,1,1610612744,GSW,201939,Curry,S. Curry,189,174,26,Made,1,7.0,10.0,17,h,Curry 26' 3PT Step Back Jump Shot (5 PTS),Made Shot,Step Back Jump shot,1,28,21600003,234,11.0,made_fg(24),3,3,likely_contested,"subType: contested-like, text: pressure-move"
88,PT02M23.00S,1,1610612744,GSW,201939,Curry,S. Curry,159,229,28,Missed,1,0.0,0.0,0,h,MISS Curry 28' 3PT Jump Shot,Missed Shot,Jump Shot,1,87,21600003,577,9.0,turnover(24),3,-2,likely_open,"subType: open-like, distance: deep above-break 3 (>=27ft)"
91,PT02M01.00S,1,1610612744,GSW,201939,Curry,S. Curry,163,141,22,Missed,1,0.0,0.0,0,h,MISS Curry 22' Jump Shot,Missed Shot,Jump Shot,1,90,21600003,599,11.0,made_fg(24),2,-1,likely_open,subType: open-like
184,PT06M47.00S,2,1610612744,GSW,201939,Curry,S. Curry,-9,267,27,Made,1,28.0,42.0,70,h,Curry 27' 3PT Jump Shot (10 PTS),Made Shot,Jump Shot,1,177,21600003,1033,15.0,final_ft(24),3,-2,likely_open,"subType: open-like, distance: deep above-break 3 (>=27ft)"
206,PT04M58.00S,2,1610612744,GSW,201939,Curry,S. Curry,-16,70,7,Made,1,34.0,46.0,80,h,Curry 7' Driving Floating Jump Shot (12 PTS),Made Shot,Driving Floating Jump Shot,1,194,21600003,1142,6.0,turnover(24),2,2,likely_contested,subType: contested-like
218,PT03M34.00S,2,1610612744,GSW,201939,Curry,S. Curry,-1,7,1,Made,1,36.0,50.0,86,h,Curry 1' Driving Layup (14 PTS),Made Shot,Driving Layup Shot,1,206,21600003,1226,11.0,made_fg(24),2,3,likely_contested,"subType: contested-like, distance: at-rim/very close"
223,PT03M17.00S,2,1610612744,GSW,201939,Curry,S. Curry,114,247,27,Made,1,40.0,50.0,90,h,Curry 27' 3PT Running Jump Shot (18 PTS) (Durant 1 AST),Made Shot,Running Jump Shot,1,211,21600003,1243,19.0,turnover(24),3,-2,likely_open,"subType: open-like, distance: deep above-break 3 (>=27ft)"
227,PT02M55.00S,2,1610612744,GSW,201939,Curry,S. Curry,130,252,28,Missed,1,0.0,0.0,0,h,MISS Curry 28' 3PT Jump Shot,Missed Shot,Jump Shot,1,215,21600003,1265,16.0,def_reb(24),3,-2,likely_open,"subType: open-like, distance: deep above-break 3 (>=27ft)"
289,PT08M36.00S,3,1610612744,GSW,201939,Curry,S. Curry,-169,262,31,Missed,1,0.0,0.0,0,h,MISS Curry 31' 3PT Jump Shot,Missed Shot,Jump Shot,1,271,21600003,1644,12.0,made_fg(24),3,-2,likely_open,"subType: open-like, distance: deep above-break 3 (>=27ft)"
