model,test_roc_auc,test_log_loss,test_brier,test_accuracy
catboost,0.9593457344518119,0.2428167435679877,0.06994945790098483,0.9118836777085383
xgboost,0.9591910311507101,0.2431467356291479,0.07009282416468508,0.911847235887905
gb,0.9549674996403891,0.25586840579688375,0.07334507972644688,0.908631245217011
rf,0.9503951287415708,0.2785191097671107,0.07718532722838563,0.9054835829598047
mlp,0.9498767087868468,0.27034761451929407,0.07591957764406493,0.9067226048613388
knn,0.9085269763058024,0.5113108378112655,0.11453401843956124,0.8557040559746365
log_reg,0.8814531280853252,0.43580749340292047,0.12886584739346926,0.851294595678
