setup,AUC,LogLoss,Brier,Accuracy
proxy,0.6962766930874477,0.6196775343119394,0.21585908227688078,0.6544101191924107
distance,0.6510390609856154,0.637734529163376,0.2243645789860516,0.6345463390902457
