actionNumber,clock,period,teamId,teamTricode,personId,playerName,playerNameI,xLegacy,yLegacy,shotDistance,shotResult,isFieldGoal,scoreHome,scoreAway,pointsTotal,location,description,actionType,subType,videoAvailable,actionId,gameId,ABS_TIME,SHOT_CLOCK_APPROX,SHOT_CLOCK_SOURCE,shotValue,contest_score,contest_label,contest_reasons
56,PT08M09.00S,1,1610612744,GSW,201939,Curry,S. Curry,95,242,26,Made,1,15.0,7.0,22,h,Curry 26' 3PT Jump Shot (3 PTS) (Durant 2 AST),Made Shot,Jump Shot,1,41,21700002,231,14.0,made_fg(24),3,-1,likely_open,subType: open-like
167,PT00M32.80S,1,1610612744,GSW,201939,Curry,S. Curry,129,43,14,Missed,1,,,0,h,MISS Curry 14' Turnaround Fadeaway Shot,Missed Shot,Turnaround Fadeaway shot,1,121,21700002,688,7.0,final_ft(24),2,4,likely_contested,"subType: contested-like, text: pressure-move, distance: mid-range"
207,PT09M14.00S,2,1610612744,GSW,201939,Curry,S. Curry,20,10,2,Missed,1,,,0,h,MISS Curry 2' Layup,Missed Shot,Layup Shot,1,146,21700002,886,13.0,turnover(24),2,1,borderline,distance: at-rim/very close
219,PT08M15.00S,2,1610612744,GSW,201939,Curry,S. Curry,-127,239,27,Missed,1,,,0,h,MISS Curry 27' 3PT Jump Shot,Missed Shot,Jump Shot,1,155,21700002,945,16.0,made_fg(24),3,-2,likely_open,"subType: open-like, distance: deep above-break 3 (>=27ft)"
370,PT11M13.00S,3,1610612744,GSW,201939,Curry,S. Curry,-13,14,2,Made,1,74.0,62.0,136,h,Curry 2' Driving Reverse Layup (8 PTS),Made Shot,Driving Reverse Layup Shot,1,260,21700002,1487,16.0,keep_clock(23),2,3,likely_contested,"subType: contested-like, distance: at-rim/very close"
373,PT10M57.00S,3,1610612744,GSW,201939,Curry,S. Curry,30,252,25,Made,1,77.0,62.0,139,h,Curry 25' 3PT Pullup Jump Shot (11 PTS) (Green 9 AST),Made Shot,Pullup Jump shot,1,263,21700002,1503,20.0,def_reb(24),3,3,likely_contested,"subType: contested-like, text: pressure-move"
379,PT10M06.00S,3,1610612744,GSW,201939,Curry,S. Curry,168,208,27,Missed,1,,,0,h,MISS Curry 27' 3PT Jump Shot,Missed Shot,Jump Shot,1,267,21700002,1554,6.0,made_fg(24),3,-2,likely_open,"subType: open-like, distance: deep above-break 3 (>=27ft)"
408,PT07M15.00S,3,1610612744,GSW,201939,Curry,S. Curry,130,17,13,Made,1,86.0,75.0,161,h,Curry 13' Jump Shot (13 PTS) (Thompson 2 AST),Made Shot,Jump Shot,1,289,21700002,1725,20.0,def_reb(24),2,0,likely_open,"subType: open-like, distance: mid-range"
540,PT10M55.00S,4,1610612744,GSW,201939,Curry,S. Curry,9,21,2,Missed,1,,,0,h,MISS Curry 2' Layup,Missed Shot,Layup Shot,1,382,21700002,2225,9.0,made_fg(24),2,1,borderline,distance: at-rim/very close
553,PT09M39.00S,4,1610612744,GSW,201939,Curry,S. Curry,-2,264,26,Missed,1,,,0,h,MISS Curry 26' 3PT Step Back Jump Shot,Missed Shot,Step Back Jump shot,1,390,21700002,2301,13.0,made_fg(24),3,3,likely_contested,"subType: contested-like, text: pressure-move"
584,PT07M33.00S,4,1610612744,GSW,201939,Curry,S. Curry,-74,256,27,Missed,1,,,0,h,MISS Curry 27' 3PT Jump Shot,Missed Shot,Jump Shot,1,411,21700002,2427,22.0,def_reb(24),3,-2,likely_open,"subType: open-like, distance: deep above-break 3 (>=27ft)"
589,PT07M00.00S,4,1610612744,GSW,201939,Curry,S. Curry,-8,15,2,Missed,1,,,0,h,MISS Curry 2' Driving Reverse Layup,Missed Shot,Driving Reverse Layup Shot,1,415,21700002,2460,14.0,def_reb(24),2,3,likely_contested,"subType: contested-like, distance: at-rim/very close"
608,PT05M48.00S,4,1610612744,GSW,201939,Curry,S. Curry,110,45,12,Made,1,111.0,105.0,216,h,Curry 12' Turnaround Hook Shot (15 PTS),Made Shot,Turnaround Hook Shot,1,429,21700002,2532,6.0,made_fg(24),2,3,likely_contested,"subType: contested-like, distance: mid-range"
610,PT05M12.00S,4,1610612744,GSW,201939,Curry,S. Curry,-75,241,25,Made,1,114.0,107.0,221,h,Curry 25' 3PT Step Back Jump Shot (18 PTS),Made Shot,Step Back Jump shot,1,431,21700002,2568,13.0,made_fg(24),3,3,likely_contested,"subType: contested-like, text: pressure-move"
