actionNumber,clock,period,teamId,teamTricode,personId,playerName,playerNameI,xLegacy,yLegacy,shotDistance,shotResult,isFieldGoal,scoreHome,scoreAway,pointsTotal,location,description,actionType,subType,videoAvailable,actionId,gameId,ABS_TIME,SHOT_CLOCK_APPROX,SHOT_CLOCK_SOURCE,shotValue,contest_score,contest_label,contest_reasons
23,PT09M47.00S,1,1610612744,GSW,201939,Curry,S. Curry,-52,26,6,Made,1,7.0,4.0,11,h,Curry 6' Floating Jump Shot (2 PTS),Made Shot,Floating Jump shot,0,22,21300017,133,14.0,final_ft(24),2,2,likely_contested,subType: contested-like
53,PT05M34.00S,1,1610612744,GSW,201939,Curry,S. Curry,-65,121,14,Missed,1,0.0,0.0,0,h,MISS Curry 14' Fadeaway Jumper,Missed Shot,Fadeaway Jump Shot,0,55,21300017,386,9.0,off_reb(14),2,4,likely_contested,"subType: contested-like, text: pressure-move, distance: mid-range"
88,PT02M11.00S,1,1610612744,GSW,201939,Curry,S. Curry,-144,228,27,Missed,1,0.0,0.0,0,h,MISS Curry 27' 3PT Jump Shot,Missed Shot,Jump Shot,0,89,21300017,589,14.0,def_reb(24),3,-2,likely_open,"subType: open-like, distance: deep above-break 3 (>=27ft)"
167,PT06M37.00S,2,1610612744,GSW,201939,Curry,S. Curry,-86,244,26,Made,1,44.0,25.0,69,h,Curry 26' 3PT Pullup Jump Shot (5 PTS),Made Shot,Pullup Jump shot,0,162,21300017,1043,16.0,def_reb(24),3,3,likely_contested,"subType: contested-like, text: pressure-move"
220,PT03M08.00S,2,1610612744,GSW,201939,Curry,S. Curry,-130,153,20,Missed,1,0.0,0.0,0,h,MISS Curry 20' Pullup Jump Shot,Missed Shot,Pullup Jump shot,0,205,21300017,1252,13.0,final_ft(24),2,3,likely_contested,"subType: contested-like, text: pressure-move"
270,PT11M10.00S,3,1610612744,GSW,201939,Curry,S. Curry,45,265,27,Missed,1,0.0,0.0,0,h,MISS Curry 27' 3PT Pullup Jump Shot,Missed Shot,Pullup Jump shot,0,246,21300017,1490,7.0,final_ft(24),3,2,likely_contested,"subType: contested-like, text: pressure-move, distance: deep above-break 3 (>=27ft)"
313,PT07M32.00S,3,1610612744,GSW,201939,Curry,S. Curry,72,75,10,Missed,1,0.0,0.0,0,h,MISS Curry 10' Floating Jump Shot,Missed Shot,Floating Jump shot,0,285,21300017,1708,19.0,def_reb(24),2,3,likely_contested,"subType: contested-like, distance: mid-range"
317,PT07M04.00S,3,1610612744,GSW,201939,Curry,S. Curry,-67,247,26,Made,1,76.0,52.0,128,h,Curry 26' 3PT Pullup Jump Shot (8 PTS) (Lee 3 AST),Made Shot,Pullup Jump shot,0,289,21300017,1736,11.0,def_reb(24),3,3,likely_contested,"subType: contested-like, text: pressure-move"
328,PT06M02.00S,3,1610612744,GSW,201939,Curry,S. Curry,100,175,20,Made,1,78.0,54.0,132,h,Curry 20' Step Back Jump Shot (10 PTS),Made Shot,Step Back Jump shot,0,301,21300017,1798,11.0,made_fg(24),2,3,likely_contested,"subType: contested-like, text: pressure-move"
352,PT04M28.00S,3,1610612744,GSW,201939,Curry,S. Curry,15,252,25,Missed,1,0.0,0.0,0,h,MISS Curry 25' 3PT Step Back Jump Shot,Missed Shot,Step Back Jump shot,0,321,21300017,1892,18.0,def_reb(24),3,3,likely_contested,"subType: contested-like, text: pressure-move"
31,PT09M26.00S,1,1610612744,GSW,201939,Curry,S. Curry,147,194,24,Made,1,6.0,9.0,15,v,Curry 24' 3PT Jump Shot (3 PTS),Made Shot,Jump Shot,0,26,21300019,154,17.0,def_reb(24),3,-1,likely_open,subType: open-like
75,PT04M52.00S,1,1610612744,GSW,201939,Curry,S. Curry,12,101,10,Missed,1,0.0,0.0,0,v,MISS Curry 10' Jump Shot,Missed Shot,Jump Shot,0,69,21300019,428,3.0,made_fg(24),2,1,borderline,"subType: open-like, distance: mid-range, clock: late (<=5s)"
82,PT03M50.00S,1,1610612744,GSW,201939,Curry,S. Curry,-112,222,25,Missed,1,0.0,0.0,0,v,MISS Curry 25' 3PT Jump Shot,Missed Shot,Jump Shot,0,75,21300019,490,12.0,made_fg(24),3,-1,likely_open,subType: open-like
184,PT10M54.00S,2,1610612744,GSW,201939,Curry,S. Curry,-150,190,24,Made,1,36.0,29.0,65,v,Curry 24' 3PT Jump Shot (6 PTS) (Iguodala 3 AST),Made Shot,Jump Shot,0,151,21300019,786,19.0,def_reb(24),3,-1,likely_open,subType: open-like
188,PT10M16.00S,2,1610612744,GSW,201939,Curry,S. Curry,32,1,3,Missed,1,0.0,0.0,0,v,MISS Curry 3' Layup,Missed Shot,Layup Shot,0,153,21300019,824,14.0,made_fg(24),2,1,borderline,distance: at-rim/very close
204,PT09M14.00S,2,1610612744,GSW,201939,Curry,S. Curry,108,172,20,Made,1,38.0,31.0,69,v,Curry 20' Jump Shot (8 PTS) (Iguodala 4 AST),Made Shot,Jump Shot,0,170,21300019,886,10.0,def_foul_14(14),2,-1,likely_open,subType: open-like
224,PT07M44.00S,2,1610612744,GSW,201939,Curry,S. Curry,39,186,19,Made,1,42.0,35.0,77,v,Curry 19' Jump Shot (10 PTS) (Iguodala 5 AST),Made Shot,Jump Shot,0,187,21300019,976,10.0,made_fg(24),2,-1,likely_open,subType: open-like
241,PT06M33.00S,2,1610612744,GSW,201939,Curry,S. Curry,103,241,26,Made,1,45.0,38.0,83,v,Curry 26' 3PT Jump Shot (13 PTS),Made Shot,Jump Shot,0,198,21300019,1047,19.0,def_reb(24),3,-1,likely_open,subType: open-like
257,PT05M28.00S,2,1610612744,GSW,201939,Curry,S. Curry,111,235,26,Missed,1,0.0,0.0,0,v,MISS Curry 26' 3PT Jump Shot,Missed Shot,Jump Shot,0,211,21300019,1112,11.0,final_ft(24),3,-1,likely_open,subType: open-like
277,PT03M22.00S,2,1610612744,GSW,201939,Curry,S. Curry,-153,113,19,Missed,1,0.0,0.0,0,v,MISS Curry 19' Jump Shot,Missed Shot,Jump Shot,0,229,21300019,1238,4.0,made_fg(24),2,0,likely_open,"subType: open-like, clock: late (<=5s)"
308,PT01M30.00S,2,1610612744,GSW,201939,Curry,S. Curry,-134,96,16,Made,1,65.0,49.0,114,v,Curry 16' Step Back Jump Shot (15 PTS),Made Shot,Step Back Jump shot,0,254,21300019,1350,11.0,made_fg(24),2,4,likely_contested,"subType: contested-like, text: pressure-move, distance: mid-range"
357,PT10M58.00S,3,1610612744,GSW,201939,Curry,S. Curry,151,198,25,Made,1,68.0,60.0,128,v,Curry 25' 3PT Jump Shot (18 PTS),Made Shot,Jump Shot,0,292,21300019,1502,16.0,def_reb(24),3,-1,likely_open,subType: open-like
379,PT08M26.00S,3,1610612744,GSW,201939,Curry,S. Curry,198,197,28,Made,1,74.0,65.0,139,v,Curry 28' 3PT Jump Shot (21 PTS) (Iguodala 8 AST),Made Shot,Jump Shot,0,314,21300019,1654,13.0,keep_clock(17),3,-2,likely_open,"subType: open-like, distance: deep above-break 3 (>=27ft)"
383,PT07M49.00S,3,1610612744,GSW,201939,Curry,S. Curry,-112,225,25,Missed,1,0.0,0.0,0,v,MISS Curry 25' 3PT Jump Shot,Missed Shot,Jump Shot,0,318,21300019,1691,14.0,keep_clock(20),3,-1,likely_open,subType: open-like
519,PT11M22.00S,4,1610612744,GSW,201939,Curry,S. Curry,-232,1,0,Made,1,93.0,83.0,176,v,Curry  3PT Jump Shot (24 PTS) (Bazemore 1 AST),Made Shot,Jump Shot,0,436,21300019,2198,9.0,def_reb(24),3,-1,likely_open,"subType: open-like, distance: at-rim/very close, coords: corner-3, corner: catch/spot"
538,PT10M04.00S,4,1610612744,GSW,201939,Curry,S. Curry,-169,178,25,Made,1,98.0,89.0,187,v,Curry 25' 3PT Step Back Jump Shot (27 PTS),Made Shot,Step Back Jump shot,0,452,21300019,2276,14.0,final_ft(24),3,3,likely_contested,"subType: contested-like, text: pressure-move"
566,PT07M54.00S,4,1610612744,GSW,201939,Curry,S. Curry,155,192,25,Made,1,108.0,96.0,204,v,Curry 25' 3PT Jump Shot (30 PTS),Made Shot,Jump Shot,0,476,21300019,2406,8.0,made_fg(24),3,-1,likely_open,subType: open-like
577,PT06M55.00S,4,1610612744,GSW,201939,Curry,S. Curry,-24,11,3,Made,1,110.0,98.0,208,v,Curry 3' Driving Layup (32 PTS),Made Shot,Driving Layup Shot,0,485,21300019,2465,12.0,made_fg(24),2,3,likely_contested,"subType: contested-like, distance: at-rim/very close"
582,PT06M05.00S,4,1610612744,GSW,201939,Curry,S. Curry,193,156,25,Made,1,110.0,101.0,211,v,Curry 25' 3PT Jump Shot (35 PTS) (Iguodala 10 AST),Made Shot,Jump Shot,0,490,21300019,2515,20.0,turnover(24),3,-1,likely_open,subType: open-like
592,PT05M37.00S,4,1610612744,GSW,201939,Curry,S. Curry,-111,231,26,Missed,1,0.0,0.0,0,v,MISS Curry 26' 3PT Jump Shot,Missed Shot,Jump Shot,0,497,21300019,2543,10.0,keep_clock(17),3,-1,likely_open,subType: open-like
630,PT03M20.00S,4,1610612744,GSW,201939,Curry,S. Curry,192,165,25,Missed,1,0.0,0.0,0,v,MISS Curry 25' 3PT Jump Shot,Missed Shot,Jump Shot,0,531,21300019,2680,14.0,def_reb(24),3,-1,likely_open,subType: open-like
633,PT02M56.00S,4,1610612744,GSW,201939,Curry,S. Curry,0,48,5,Missed,1,0.0,0.0,0,v,MISS Curry 5' Floating Jump Shot,Missed Shot,Floating Jump shot,0,534,21300019,2704,9.0,made_fg(24),2,3,likely_contested,"subType: contested-like, distance: at-rim/very close"
660,PT01M16.00S,4,1610612744,GSW,201939,Curry,S. Curry,-73,134,15,Made,1,124.0,115.0,239,v,Curry 15' Pullup Jump Shot (38 PTS),Made Shot,Pullup Jump shot,0,556,21300019,2804,18.0,made_fg(24),2,4,likely_contested,"subType: contested-like, text: pressure-move, distance: mid-range"
30,PT07M55.00S,1,1610612744,GSW,201939,Curry,S. Curry,-190,173,26,Missed,1,0.0,0.0,0,h,MISS Curry 26' 3PT Pullup Jump Shot,Missed Shot,Pullup Jump shot,0,31,21300040,245,11.0,made_fg(24),3,3,likely_contested,"subType: contested-like, text: pressure-move"
34,PT07M32.00S,1,1610612744,GSW,201939,Curry,S. Curry,-235,15,24,Missed,1,0.0,0.0,0,h,MISS Curry 24' 3PT Pullup Jump Shot,Missed Shot,Pullup Jump shot,0,35,21300040,268,18.0,def_reb(24),3,3,likely_contested,"subType: contested-like, text: pressure-move, coords: corner-3"
41,PT06M18.00S,1,1610612744,GSW,201939,Curry,S. Curry,-237,12,24,Made,1,11.0,7.0,18,h,Curry 24' 3PT Step Back Jump Shot (3 PTS) (Bogut 1 AST),Made Shot,Step Back Jump shot,0,42,21300040,342,9.0,def_reb(24),3,3,likely_contested,"subType: contested-like, text: pressure-move, coords: corner-3"
49,PT05M42.00S,1,1610612744,GSW,201939,Curry,S. Curry,-11,12,2,Made,1,13.0,7.0,20,h,Curry 2' Driving Finger Roll Layup (5 PTS) (Iguodala 1 AST),Made Shot,Driving Finger Roll Layup Shot,0,47,21300040,378,11.0,keep_clock(19),2,1,borderline,distance: at-rim/very close
56,PT03M59.00S,1,1610612744,GSW,201939,Curry,S. Curry,187,165,25,Made,1,18.0,12.0,30,h,Curry 25' 3PT Step Back Jump Shot (8 PTS) (Iguodala 3 AST),Made Shot,Step Back Jump shot,0,54,21300040,481,2.0,made_fg(24),3,4,likely_contested,"subType: contested-like, text: pressure-move, clock: late (<=5s)"
75,PT02M22.00S,1,1610612744,GSW,201939,Curry,S. Curry,67,183,19,Missed,1,0.0,0.0,0,h,MISS Curry 19' Jump Shot,Missed Shot,Jump Shot,0,70,21300040,578,11.0,def_reb(24),2,-1,likely_open,subType: open-like
