iter	Passed	Remaining
427	2775	466
428	2782	460
429	2788	453
430	2795	447
431	2801	440
432	2808	434
433	2814	428
434	2821	421
435	2827	415
436	2835	408
437	2842	402
438	2849	395
439	2856	389
440	2863	383
441	2870	376
442	2877	370
443	2884	363
444	2891	357
445	2898	350
446	2905	344
447	2912	338
448	2919	331
449	2926	325
450	2933	318
451	2940	312
452	2947	305
453	2954	299
454	2961	292
455	2967	286
456	2974	279
457	2980	273
458	2987	266
459	2994	260
460	3000	253
461	3007	247
462	3013	240
463	3020	234
464	3027	227
465	3034	221
466	3041	214
467	3047	208
468	3054	201
469	3061	195
470	3067	188
471	3074	182
472	3080	175
473	3087	169
474	3094	162
475	3100	156
476	3107	149
477	3113	143
478	3119	136
479	3127	130
480	3135	123
481	3141	117
482	3148	110
483	3154	104
484	3161	97
485	3168	91
486	3174	84
487	3180	78
488	3187	71
489	3193	65
490	3199	58
491	3205	52
492	3212	45
493	3218	39
494	3224	32
495	3231	26
496	3238	19
497	3244	13
498	3250	6
499	3257	0
