iter	Logloss
0	0.6911416599
1	0.6892176088
2	0.6873596551
3	0.6855974697
4	0.6838645792
5	0.682228297
6	0.6806853322
7	0.6791517202
8	0.6777106816
9	0.6763273159
10	0.6750026848
11	0.6736929215
12	0.6724367217
13	0.6712554839
14	0.670122092
15	0.6690398314
16	0.6679603168
17	0.6669261302
18	0.6659297092
19	0.6649743886
20	0.664065084
21	0.6631844599
22	0.6623397879
23	0.6615236878
24	0.6607350938
25	0.6599817383
26	0.6592507263
27	0.6585685149
28	0.6578872811
29	0.6572546415
30	0.656681941
31	0.6560913425
32	0.6555007561
33	0.6549230209
34	0.6543947136
35	0.6538683937
36	0.6533558516
37	0.6528629043
38	0.6523914905
39	0.6519506221
40	0.6515101471
41	0.6510805102
42	0.6506675785
43	0.6502761861
44	0.6499007874
45	0.6495390326
46	0.6492166459
47	0.6488802018
48	0.6485290654
49	0.6482062096
50	0.6479013705
51	0.6476230092
52	0.6473259694
53	0.6470515439
54	0.6467810775
55	0.6465246288
56	0.6462733889
57	0.6460222246
58	0.6457582697
59	0.6455264339
60	0.6453222316
61	0.645097295
62	0.6448675952
63	0.6446140389
64	0.6443672857
65	0.6441299974
66	0.6438863414
67	0.6436594166
68	0.6434363246
69	0.6432290004
70	0.6430103869
71	0.642809136
72	0.6426038399
73	0.6424146017
74	0.6422316568
75	0.6420444903
76	0.6418808648
77	0.641713564
78	0.6415393673
79	0.6413939223
80	0.6412552367
81	0.6411107312
82	0.6409647934
83	0.64082538
84	0.640681417
85	0.640549825
86	0.6404213541
87	0.6402962478
88	0.6401799384
89	0.6400622198
90	0.6399455086
91	0.6398348437
92	0.6397355207
93	0.6396319659
94	0.6395311134
95	0.6394335185
96	0.6393366386
97	0.6392398124
98	0.6391456856
99	0.6390509014
100	0.6389630525
101	0.6388831449
102	0.6388027882
103	0.6387255905
104	0.6386513387
105	0.638581758
106	0.6385076082
107	0.6384333998
108	0.638371704
109	0.6382999276
110	0.6382303002
111	0.6381735913
112	0.6381137
113	0.6380564881
114	0.6379931422
115	0.6379408875
116	0.6378888431
117	0.6378443668
118	0.6377860447
119	0.6377325385
120	0.6376777853
121	0.6376249793
122	0.6375713332
123	0.6375269035
124	0.637472906
125	0.637411826
126	0.6373600299
127	0.637309187
128	0.6372685984
129	0.6372197708
130	0.6371699212
131	0.6371220528
132	0.6370772422
133	0.6370383526
134	0.6369931369
135	0.6369561889
136	0.6369123531
137	0.6368761699
138	0.6368402657
139	0.6368029039
140	0.636758228
141	0.6367269747
142	0.6366916113
143	0.6366587221
144	0.6366224517
145	0.6365865033
146	0.6365487046
147	0.6365152469
148	0.6364779054
149	0.6364401519
150	0.6364115641
151	0.6363832515
152	0.6363450992
153	0.6363146007
154	0.6362852827
155	0.6362529676
156	0.636215022
157	0.6361902801
158	0.636157713
159	0.6361198265
160	0.636094983
161	0.6360660942
162	0.6360335506
163	0.6360024125
164	0.6359692048
165	0.6359394993
166	0.6359184722
167	0.6358826561
168	0.6358625923
169	0.6358191947
170	0.6357933111
171	0.6357700321
172	0.6357399894
173	0.6357101059
174	0.6356783363
175	0.6356535829
176	0.6356041076
177	0.6355717239
178	0.6355499584
179	0.6355203795
180	0.6354941372
181	0.6354675659
182	0.6354380536
183	0.6354180566
184	0.6353921862
185	0.6353660067
186	0.6353419971
187	0.6353173439
188	0.6352905937
189	0.635266799
190	0.6352406853
191	0.6352200467
192	0.6351978975
193	0.6351779441
194	0.6351511098
195	0.6351272401
196	0.6351099036
197	0.6350913227
198	0.6350727961
199	0.6350524391
200	0.6350334803
201	0.6350082251
202	0.6349819129
203	0.6349646727
204	0.6349433599
205	0.6349237823
206	0.6349046035
207	0.634883459
208	0.6348589111
209	0.634837741
210	0.6348213674
211	0.6347896181
212	0.6347661535
213	0.6347483091
214	0.6347298625
215	0.6347138959
216	0.6346966978
217	0.6346766794
218	0.6346556447
219	0.6346373922
220	0.6346189501
221	0.6346001591
222	0.6345760811
223	0.6345620119
224	0.6345471682
225	0.6345284244
226	0.6345073474
227	0.6344934873
228	0.6344748628
229	0.6344636465
230	0.634443404
231	0.6344271182
232	0.6343994966
233	0.6343836052
234	0.6343697068
235	0.634358962
236	0.6343337636
237	0.6343106103
238	0.6342961465
239	0.6342813989
240	0.6342647273
241	0.6342380431
242	0.634226229
243	0.6342126727
244	0.6341945835
245	0.6341700018
246	0.6341593493
247	0.6341453495
248	0.6341246681
249	0.6341050568
250	0.6340915426
251	0.6340729533
252	0.6340565924
253	0.6340349424
254	0.6340181047
255	0.6340067569
256	0.6339949622
257	0.633977895
258	0.6339525534
259	0.6339376326
260	0.6339202813
261	0.6339058511
262	0.6338825947
263	0.6338599417
264	0.6338487458
265	0.633835839
266	0.6338227605
267	0.6338076968
268	0.6337926538
269	0.6337765991
270	0.6337651106
271	0.6337506742
272	0.6337357272
273	0.6337167128
274	0.6337004176
275	0.633681311
276	0.6336647548
277	0.6336526654
278	0.6336399133
279	0.6336280289
280	0.633615527
281	0.6336052243
282	0.6335908918
283	0.6335805476
284	0.6335656682
285	0.6335512962
286	0.6335331052
287	0.6335212508
288	0.633502434
289	0.633491789
290	0.6334736501
291	0.633457844
292	0.6334469177
293	0.6334367126
294	0.6334248391
295	0.6334093565
296	0.6333950402
297	0.6333859642
